"English","日本語";
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1。オシリスミッションパーソナルアシスタント（o.m.a.）は、エイリアン惑星での積極的な職務で現地職員を支援するために開発されました。各o.p.a.ナビゲーション、修理、採掘、および自己防衛を含む一連のアップグレード可能なアルゴリズムがインストールされています。

10-2。従う：フォロー手順を有効にするo.p.a.a。トレイル担当者へのユニット。これにより、ユニットは必要に応じて支援を提供します。

10-3。 FLANK：フランク手順を活性化すると、o.p.aが働きます。リードするユニット。この操縦者は、対向攻撃から担当者を守るのに理想的です。 o.p.a.また、近くに近くなる前に迅速に危険を見つけて脅威に従事することができるハイテクセンサーを搭載しています。

10-4。 Engage（Passive）：必要なアップグレードがインストールされている場合は、o.m.a.ユニットは、人員の担当者を怪我から保護し、構造的な損害を防ぐために、敵対的な脅威を自動的に取り組みます。

10-5。修理：修理手順を起動すると、o.p.aが従事します。指定された領域を巡回し、損傷を受けた所有構造を修理します。

10-6。鉱山：鉱山処置を活性化すると、o.p.a。指定された領域を巡回し、貴重なリソースを採用するための単位。必要なアップグレードがインストールされている場合、ユニットは近くのストレージユニットを検出して収集した資料をアンロードすることもできます。

10-7。召喚（実験的）：各o.p.a.マニピュレータ可能な量子特性を含むことが判明した新しく発見されたミネラルを備えています。この材料は、召喚手順が活性化されたときにユニットがテレポートをすることを可能にするために利用されてきました。この特徴を使用すると、反応を起動するために必要なエネルギーを提供するために、コストが得られ、大量の電力がバッテリ電源から排出される。";
"10-8. The O.M.P.A. has been programmed for mining valuable resources scattered across the various terrains of the GLiese 581 System. Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area, mine, and if upgraded with the necessary components, detect nearby storage units and unload the collected resources.
","10-8。 o.p.a. Gliese 581システムのさまざまな地形に散在している貴重なリソースを採掘するためにプログラムされています。鉱山手順を活性化すると、o.p.a。指定されたエリア、鉱山、そして必要なコンポーネントでアップグレードされた場合は、近くのストレージユニットを検出し、収集されたリソースをアンロードしてください。
";
"10-9. The O.M.P.A. has been programmed to provide assistance to injured personnel and repair structural damage while patrolling is assigned coordinates. 
","10-9。 o.p.a.議論の座標が割り当てられている間、負傷した人員や構造損傷を補修するようにプログラムされています。
";
"10-10. The O.M.P.A. has been programmed to target and engage in combat if equipped with the necessary upgrades. Once achieved the O.M.P.A. will be armed and ready to protect and automatically engage hostile threats.
","10-10。 o.p.a.必要なアップグレードを装備した場合は、戦闘をターゲットにして参加するようにプログラムされています。かつて腫を達成した。武装して、敵対的な脅威を保護し、自動的に取り込む準備ができています。
";
"10-11. The O.M.P.A. unit requires periodical repair and battery maintenance. When engaging in combat the O.M.P.A. can sustain damage that requires repair. If this occurs, personnel must equip the repair tool and use it on the O.M.P.A. to return it to a working condition. If the O.M.P.A. suffers from battery depletion, it will remain in the same location it lost power. To fix, simply equip a new battery and install in into the O.M.P.A.
","10-11。 o.p.a.ユニットには定期的な修理と電池のメンテナンスが必要です。戦闘に携わるとき、o.p.a.修理が必要な損傷を維持できます。これが発生した場合、担当者は修理ツールを装備し、それをo.p.aに使用する必要があります。それを作業状況に戻す。 o.m.aの場合バッテリーの枯渇に苦しんでいるので、それは電力を失ったのと同じ場所に残ります。修正するには、新しいバッテリーを装備してo.p.aにインストールするだけです。
";
"10. Osiris Mission Personal Assistant Manual","10.オシリスミッションパーソナルアシスタントマグル";
"Alien Plant","エイリアンプラント";
"Blunt Object","鈍いオブジェクト";
"Slashing Tool","スラッシュツール";
"Sharp Weapon","鋭い武器";
"Surgical Tool","外科用器具";
"Extracting Tool","抽出ツール";
"Discoveries","発見";
"[A] MISSIONS","[a]ミッション";
"SKILLS [D]","スキル[D]";
"[A] DISCOVERIES","[a]発見";
"INVENTORY [D]","在庫[D]";
"Bug Report / Feedback","バグレポート/フィードバック";
"Menu","メニュー";
"Settings","設定";
"Force Kill","強制殺す";
"Report Player","レポートプレーヤー";
"Main Menu","メインメニュー";
"Exit Game","出口ゲーム";
"Players","プレーヤー";
"Player Name...","プレーヤの名前...";
"Avatar Name...","アバター名...";
"Cheating","不正行為";
"Additional Comments...","追加コメント...";
"Submit","参加する";
"Menu Options","メニューオプション";
"[A] SKILLS","[A]スキル";
"Feedback","フィードバック";
"Enter feedback here (optional)","ここでフィードバックを入力してください（オプション）";
"General Feedback","一般フィードバック";
"Gameplay / Balancing","ゲームプレイ/バランス";
"Bug / Tech Issue / Frame Rate","バグ/技術発行/フレームレート";
"Feature Request","機能リクエスト";
"Include Screenshot","スクリーンショットを含みます";
"All is good, just giving feedback","フィードバックを与えるだけで、すべてが良いです";
"This is kind of serious","これは非常に深刻です";
"This is stopping gameplay","これはゲームプレイを停止しています";
"Missions | Logs | Blueprints","ミッション|ログに記録します青写真";
"Mission 1 - Explore Proteus 2","ミッション1  - プロテウス2を探索する";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","私はこの惑星の足がかりを得たので、私はPhoenixチームと登録できるかどうかを探り、そして見るべきです。 （[F3] GPSを開きます、あなたのスーツに基本的なスキャンを可能にするレーダーが設置されています。マップのズームを変更するには、[Num +]と[Num]  - ]。）";
"Mission 2 - N/A","ミッション2  -  N / A.";
"Activate new mission in Mission Menu","ミッションメニューで新しいミッションを有効にします";
"Mission 3 - N/A","ミッション3  -  N / A.";
"Encrypted Disks","暗号化されたディスク";
"Item Name","項目名";
"Decrypt","復号する";
"Are you sure you want to quit to main menu?","メインメニューを終了してもよろしいですか？";
"Placeholder","プレースホルダー";
"O.M.P.A. Overview","o.p.a.概要";
"dev console commands","dev consoleコマンド";
"Push-to-Talk Initializing...","プッシュトーク初期化...";
"[F1] Push-To-Talk","[F1]プッシュツートーク";
"Talk now","今話す";
"World Channel","ワールドチャンネル";
"Chat Commands","チャットコマンド";
"[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous whisper","[TAB]サイクル利用可能なチャンネル
[/ g]グローバルチャンネル
[/ l]ローカルチャンネル
[/ c]コロニーチャンネル
[/ P]パーティーチャネル
[/ w]ささやきチャンネル
[/ r]前のささやきに返信してください";
"Equip Locator To Cycle Targets","ロケータをサイクルターゲットに装備します";
"Nearest Dish
Scanning...
","最寄りの料理
走査...
";
"Downloading Transmission","送信のダウンロード";
"Performing System Dyagnostics_","システムの実行Dyagnostics_";
"Party Member 1","パーティーメンバー1.";
"Toggle Flashlight [L]","懐中電灯を切り替える[L]";
"Slope:","スロープ：";
"SUIT","スーツ";
"ENV","羨む";
"Incline","傾く";
"Noise","ノイズ";
"EARLY ACCESS","早いアクセス";
"This new ability unlocks your wildest dreams!","この新しい能力はあなたの最も野生の夢のロックを解除します！";
"Status","状態";
"New Ability","新しい能力";
"Username","ユーザー名";
"Exit","出口";
"Options","オプション";
"News","ニュース";
"Multiplayer","マルチプレイヤー";
"Single Player","シングルプレーヤー";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","低軌道であなた自身の宇宙ステーションを完全に洗練します。すべてのステーションモジュールは任意の組み合わせで相互接続することができ、設計とレイアウトの完全な柔軟性を可能にします。

各モジュールには、クラフト、電力システム、および保管など、独自の目的と機能があります。

宇宙ステーションは、大気中の既存の惑星の侵食や危険性がないため、貴重な資源を貯めるための興味深い戦略的オプションを作成しています。
";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2私たちが開発してきた新しいテクノロジーを利用しています。

私たちは世界のテクスチャの量を2倍にし、何百万もの草の刃を動かし、そして数えない新しい外国人の葉の葉が様々な資源をもたらしました。
";
"Discovery System
","発見システム
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","あなたがあなたの冒険で観察したすべてのものが発見されることができます。単純な実績以上のものではなく、発見システムは実際にはさまざまなリソースをすべてロック解除します。

基本的に、リソース上で使用される各武器またはツールは、異なる項目を生み出すことができ、太陽系およびそのすべての生活形態のより多くの科学的探査を可能にする。
";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","ミネラルはあなたの更新されたGPSでフィルタリングされるようになりました。この非常に便利なツール。これは常にあなたのHUDで利用可能で、あなたのロケータに添付されていなくなり、あなたの周囲の衛星とあなた自身の内部スーツのレーダーから読み込み、検出半径を作成します。

このシステムはあなたにすべての周囲のミネラル、彼らの硬さと密度を示すので、あなたがあなたのクラフトミッションであなたが探しているものを見つけることができます。
";
"Removal of Build Gates
","ビルドゲートの除去
";
"Options","オプション";
"News","ニュース";
"Multiplayer","マルチプレイヤー";
"Single Player","シングルプレーヤー";
"Exit","出口";
"New Ability","新しい能力";
"Status","状態";
"EARLY ACCESS","早いアクセス";
"This new ability unlocks your wildest dreams!","この新しい能力はあなたの最も野生の夢のロックを解除します！";
"Glide Unit Mk. II","グライドユニットMK。 ii";
"Weight: ","重量：";
"Hover Duration: ","ホバー期間：";
"Hover Height: ","ホバーの高さ：";
"Hover Fuel Usage: ","ホバー燃料使用量：";
"Oxygen Consumption: ","酸素消費量：";
"Stamina Usage: ","スタミナの使い方：";
"Quartz","石英";
"Class: ","クラス：";
"Amount: ","量：";
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","二酸化ケイ素からなる硬化した、白、そして時々無色のミネラル。";
"Cobalt Bolt Rifle","コバルトボルトライフル";
"Bolt Rifle Magazine","ボルトライフルマガジン";
"Remaining Ammo: ","残りの弾薬：";
"Clip Size: ","クリップサイズ：";
"Damage: ","ダメージ：";
"10% critical hit","10％クリティカルヒット";
"Durability Consumption: ","耐久性消費量：";
"Orcek Meat","オルスクミート";
"Health Bonus: ","健康ボーナス：";
"Nutrition Bonus: ","栄養ボロン：";
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","肉はオルセクの体をすぐから裂かった。食中毒を避けるために調理する。";
"Gold","ゴールド";
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","耐食性および導電性のために、電子デバイスの製造に主に使用されている柔らかくて可鍛性のある延性金属。";
"Reactor Cell","原子炉セル";
"Total Weight: ","総重量：";
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","反応器ピストルの弾薬電荷。バックパックに保存されている場合は、リロード時に自動的に使用されます。";
"Grunt","ぶらぶら";
"Strength Boosted: ","強度ブースト：";
"A strong compound created to give a boost to your carrying capacity.","あなたの運搬能力に後押しするために作成された強い化合物。";
"02 Pump Unit Mk. III","02ポンプユニットMK。 i";
"Oxygen Recharge: ","酸素充電：";
"Stamina Recharge: ","スタミナリチャージ：";
"DIA-72 Assault Rounds","DIA-72アサルトラウンド";
"20% critical hit","20％クリティカルヒット";
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","アサルトライフルのための高度なAMMOマガジン。バックパックに保存されている場合は、リロード時に自動的に使用されます。";
"Blood Sausage","血のソーセージ";
"Quench Bonus: ","クエンチボーナス：";
"Fortitude Boosted: ","司教はブーストしました：";
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","エイリアンの腸に詰まった凝固した外来血で作られたおいしいソーセージ。在庫を装備している間またはまっすぐに食べます。";
"Nickel","ニッケル";
"A metal commonly used in various alloys.","様々な合金で一般的に使用されている金属。";
"Branches","枝";
"Wood is often used to stoke fires.","木はしばしば火事を染みやすくします。";
"Crab Shell","カニの殻";
"Shell taken from a crab monster, often used to make defenses.","カニモンスターから撮影されたシェルは、しばしば防御をするために使用されます。";
"Recovery Unit Mk. III","回復ユニットMK。 i";
"Prevents Fall Damage","秋の損傷を防ぎます";
"Hover Fuel Recharge: ","ホバー燃料充電：";
"Gold Ingot","金塊";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：1064℃
";
"Heat Cell","熱セル";
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","熱ピストルのための弾薬電荷。バックパックに保存されている場合は、リロード時に自動的に使用されます。";
"Flourine","華々しい";
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","ケーブルの断熱材や防水材料で使用される重度の火傷を引き起こす有毒ガス。";
"Phencyclidine","ピンククリドーニ";
"Potent tranqualizing agent.","強力な静止化剤。";
"Fire Gem","火宝";
"A strange gem that gives off immense heat, its physical properties unknown.","非常に暑い熱を与える奇妙な宝石、その物理的性質は不明です。";
"Alien Organ","エイリアンオルガン";
"An Organ surgically removed from the body of an indigenous alien creature.","先住民の外国人の生き物の体から外科的に取り除かれた臓器。";
"Heat Sink Unit Mk. I","ヒートシンクユニットMK。私";
"Cold Resistance: ","耐寒性：";
"Crab Antenna","カニアンテナ";
"Antenna taken from a crab monsters.","カニモンスターから取られたアンテナ。";
"Cobalt Assault Rifle","コバルトアサルトライフル";
"0% critical hit","0％クリティカルヒット";
"Mechanized Spanner","機械化スパナ";
"Durability: ","耐久性：";
"Indestructible multi-tool needed for repairing any damaged structures, walls, vehicles, and droids. Also needed to build new walls.","破損した構造物、壁、車両、およびドロイドを修復するために必要な不滅のマルチツール。新しい壁を作るためにも必要です。";
"Apple","林檎";
"Nutritious fruit to replenish hunger. Can be eaten while equipped or straight from storage.","飢餓を補充する栄養価の高い果物。装備されている間、またはストレージからのストレートで食べることができます。";
"Medical Bandage","包帯";
"Heals hitpoints. Can be used while equipped or straight from inventory.","ヒットポイントを癒します。在庫を備えている間またはまっすぐに使用できます。";
"Scrap Plastic","スクラッププラスチック";
"Leftover chunk of plastic that need to be melted down and reformed to be useful.","融解する必要があり、有用であるように改革されるプラスチックの塊の塊。";
"Arachnoid Small Leg","アラクノイド小脚";
"The smaller leg of an Arachnoid ripped right off from its body. Used in a variety of crafting recipes.","アラクノイドの小さな脚はその体からすぐに裂かった。さまざまなクラフトレシピで使用されます。";
"Paradise Bloom","パラダイスブルーム";
"Bloom taken from what looks like an unusual strain of a Birds of Paradise. Can be eaten while equipped or straight from storage.","楽園の様々なひずみのように見えるものから撮った。装備されている間、またはストレージからのストレートで食べることができます。";
"U.N.E. Emergency Ration","u u緊急支給";
"Packaged nutritional paste commonly found in Emergency kits, can be easily consumed and provides vital sustenance. Eat while equipped or straight from inventory.","包装された栄養ペーストは一般的に緊急キットに見られるように、簡単に消費され、そして重要なサポートを提供することができます。在庫を装備している間またはまっすぐに食べます。";
"Small Radar Dish Kit","小さなレーダーディッシュキット";
"Max Durability: ","最大の耐久性：";
"Kit used to build Small Radar Dish. To build select the Small Radar Dish from the Utilities tab in your Character build Menu.","小さなレーダー皿を作るために使用されたキット。キャラクタビルドメニューの[ユーティリティ]タブから[ユーティリティ]タブから[小型]タブから[ビルド]をビルドします。";
"Mud Cover","泥カバー";
"Heat Resistance: ","耐熱性：";
"Glide Unit Mk. III","グライドユニットMK。 i";
"Fuel Compressor Mk. I","燃料圧縮機MK。私";
"Hover Fuel Amount: ","ホバー燃料量：";
"Light Unit","軽量";
"Flashlight Power Usage: ","懐中電灯の消費電力：";
"Flashlight Range: ","懐中電燈の範囲：";
"Glide Unit Mk. I","グライドユニットMK。私";
"Heat Pistol","熱ピストル";
"Circuit Board","回路基板";
"Processor used to build complex structures, vehicles, and items.","プロセッサは複雑な構造、車両、およびアイテムを構築するために使用されます。";
"Plutonium","プルトニウム";
"Highly radioactive energy source.","高放射性エネルギー源。";
"Sand","砂";
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","炉内ガラスの鍛造品や化学表の土壌を作るためのクラフト項目。";
"Hose","ホース";
"A Rubber hose.","ゴムホース。";
"Lead","鉛";
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","発射体および放射線遮蔽用途に一般的に使用されている柔らかく、非常に高密度の金属。";
"Plutonium Ingot","プルトニウムインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：639.4°C.
";
"Fury","f f";
"Stamina Boosted: ","スタミナブースト：";
"A strong compound created to give you a boost to your stamina.","あなたのスタミナへの後押しをするために作成された強い化合物。";
"Cubic Zirconia","キュービックジルコニア";
"A cut, refined piece of crystalline Zirconium.","カット、洗練された結晶ジルコニウム。";
"Storage Unit Mk. I","記憶装置MK。私";
"Adds Inventory Slots: ","インベントリスロットを追加します。";
"Tree Sap","s s";
"Viscous liquid used for crafting more advanced items.","より高度なアイテムを作成するために使用される粘性液。";
"Gnat Teeth","GNATの歯";
"Crafting item for building weapon modifications, calcium powder and other items.","武器の修正、カルシウム粉末、その他のアイテムを構築するためのクラフト項目。";
"Potato","ポテト";
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","飢餓を補充するために食べることができる生の食品。調理するともっと栄養価があります。装備されている間、またはストレージからのストレートで食べることができます。";
"Arachnoid Leg","アラコノイドの脚";
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","足が荒布の体をすぐに裂かった。さまざまなクラフトレシピで使用されます。";
"Sword Leaves","刀の葉";
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","さまざまなアイテムを作るための成分として使用される刀プラントから撮影された葉。健康と栄養の小さな増加のために食べることができます。";
"Sweet Alien Jerky","甘いエイリアンジャーキー";
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","砂糖漬けのエイリアンの肉のおいしい部分。在庫を装備している間またはまっすぐに食べます。";
"Tool Holster","ツールホルスター";
"Tree Bark","樹皮";
"Bark taken from an indigenous tree used as an ingredient to craft different items.","さまざまなアイテムを作るための成分として使用される先住民族の木から撮影された樹皮。";
"Crab Leg Meat","カニレッグミート";
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","カニモンスターの脚から撮った肉。食中毒を避けるために調理する。";
"Reactor Pistol","反応器ピストル";
"Fuel Compressor Mk. II","燃料圧縮機MK。 ii";
"Cryo Rifle","クライオライフル";
"Stim Unit Mk. III","STIMユニットMK。 i";
"Rock","岩";
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","岩は工具や建材として使用されています。それを武器として使用するには、あなたのクラフトメニューにそれをバッシュロックに変換します。";
"Makeshift Chisel","マケシフトチーゼル";
"Hardness: ","硬度：";
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","Makeshift Bluntツール3の硬さで鉱物鉱石を採掘するために使用された。それは近接戦闘のために再利用することができます。";
"Crude Metal Blade","粗金属刃";
"A piece of sharpened metal that can be used to make a basic sword.","基本的な刀を作るために使用できる鋭利な金属。";
"A51 Heavy Assault Rifle","A51重いアサルトライフル";
"Broken Hose","壊れたホース";
"A damaged section of hose, could be patched up to be operational again.","ホースの破損した部分は、再び運転するためにパッチを添えてください。";
"Crude Metal Axe","粗金属斧";
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","テープが付いているスティックの上に本質的に鋭利な金属インゴットであるスラッシュツール。";
"Bolt Rifle","ボルトライフル";
"Scrap Hinge","スクラップヒンジ";
"A small hinge salvaged from debris.","デブリから救済された小さなヒンジ。";
"Medkit","メドキット";
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","たくさんのヒットポイントを癒す高度な医療キット。在庫を備えている間またはまっすぐに使用できます。";
"Plastic","プラスチック";
"Crafting item for building structures, walls, and other items.","建物構造、壁、その他の項目のためのクラフト項目。";
"Propellant Tank","推進薬タンク";
"Where propellant is stored in a container belonging within a vehicle.","推進剤が車両内に属する容器に保管されている場合。";
"Flare","フレア";
"Bashing Rock","バッシュロック";
"Useful when you have no other tools.","他のツールがない場合に便利です。";
"Broken Barrel","壊れた樽";
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","破損しており、もはやガスを保管することができないバレル。いくつかのパッチはこれを再び機能させることができます。";
"Vampire Dust","吸血鬼のほこり";
"Agility Boosted: ","敏捷性はブーストしました：";
"Advanced compound created to boost your strength and speed.","あなたの強さと速度を後押しするために作成された高度な化合物。";
"Carbon Ingot","カーボンインゴット";
"

- Melting point: 3550 °C
","

 - 融点：3550℃
";
"Inflatable Dome Kit","インフレータブルドームキット";
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","膨脹可能なドームを構築するために使用されたキット。ビルドするには、[インベントリ]アイテムを右クリックして[ビルド]を選択するか、[文字]メニューの[構造]タブから[インフレータブルドーム]を選択します。";
"Grilled Tumbo Meat","焼き塊の肉";
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","肉は塊の体から離れた。調理されて食べるのは安全です。";
"Chisel","チセル";
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","硬さ7の硬さで鉱物鉱石を採掘するために使用される強力な鈍い道具。";
"Hiking Cleats","ハイキングクリート";
"25% critical hit","25％クリティカルヒット";
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","ボルトライフル用の弾薬マガジン。バックパックに保存されている場合は、リロード時に自動的に使用されます。";
"Stim Unit Mk. II","STIMユニットMK。 ii";
"Scrap Metal","金属くず";
"Small pieces of metal left over after the greater portion of metal has already been used.","金属の大部分が既に使用されていた後に残った金属片が既に使用されています。";
"Tungsten Ingot","タングステンインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：3422℃
";
"Uranium","ウラン";
"A dense, radioactive metal used commonly in nuclear fission based power generation.
","核分裂ベースの発電で一般的に使用される緻密で放射性の高い金属。
";
"Nitrogen","窒素";
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","肥料、アミノ酸、したがってタンパク質の無臭で無色の成分、肥料や爆発物を作り出すために重要です。";
"Cobalt","コバルト";
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","磁石、電池、および耐摩耗性合金の添加剤としてよく使用される金属。";
"Pipe","パイプ";
"50% critical hit","50％クリティカルヒット";
"A basic formed pipe, can be used as a melee weapon.","基本的に形成された管は、近接兵器として使用することができる。";
"Makeshift Laser Chisel","Makeshift Laser Chisel.";
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","最も硬い鉱物をゆっくりとサンプリングすることができるオーバークロックされたメキシフトレーザー、その短い電池寿命はそれを貧弱なマイニング装置にします。";
"D24k Assault Rounds","D24Kアサルトラウンド";
"Zirconium Circuit Board","ジルコニウム回路基板";
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","マザーボードはジルコニウムを使用して作られ、ある種の複雑な構造、車両、およびアイテムを構築するときに使用されます。";
"Yellow Pedal Flower","黄色いペダルの花";
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","野生の中で見つかった先住民菌。食べることは有毒ですが、特別なアイテムを作り直すために使用することができます。";
"Wrench","レンチ";
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","修理、救済、および正確ないじりに使用することができる基本的なマルチツール。";
"Battery","電池";
"Replaces depleted battery in flashlight.","懐中電灯の枯渇したバッテリーを置き換えます。";
"Gem Leaf Fruit","宝石の葉の果実";
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","飢餓を補充するための非常に栄養価の高い食べ物。装備されている間、またはストレージからのストレートで食べることができます。";
"Azurnium","鞍譜";
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","疎に理解されている物理的性質を持つ奇妙な結晶。ハイテクデバイスで便利です。";
"Shaped Crab Antenna","形のカニアンテナ";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","カニアンテナの成形フラグメントは、粗精密工具に作ることができた。";
"Blitz","ブリッツ";
"A weak compound created to give a small boost to your stamina.","スタミナに小さなブーストを与えるために作成された弱い化合物。";
"Fungus","菌類";
"Heat Sink Unit Mk. III","ヒートシンクユニットMK。 i";
"Light Unit Mk. I","ライトユニットMK。私";
"Crude Pipe","粗管";
"A crude pipe fashioned from bent scrap metal.","曲がったスクラップメタルから作られた粗管。";
"Orcek Soup","Orcek Soup";
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","非常にモバイル包装で保存されているおいしいスープ。在庫を装備している間またはまっすぐに食べます。";
"Charge Rifle","充電ライフル";
"Hydrogen","水素";
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","色と臭いの両方なしでは、主にエネルギーのためのロケット燃料として使用されている非常に可燃性のガス。";
"Obsidian","黒曜石";
"A volcanic glass capable of being knapped into sharp blades.","鋭い刃に麻を詰めることができる火山ガラス。";
"Gnat Hook","Gnatフック";
"Crafting item for building weapon modifications, calcium powder 
and other items.","武器の修正、カルシウムパウダーの建物の作成項目
そして他のアイテム。";
"White Gold","白金";
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","宝石類で最も一般的に使用されている展性のある合金は、小さな部分の製造に使用することができます。";
"Zircaloy","ジルカロイ";
"High heat, hardness, and corrosion resistant alloy.","高温、硬度、耐食性合金。";
"Zinc","亜鉛";
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","抗腐食性コーティングおよび様々な合金として一般的に使用される脆性金属。";
"Snake Stew","ヘビシチュー";
"Gnat Meat","Gnat Meat";
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","肉はGNATの体から離れた。食中毒を避けるために調理する。";
"Oxygen","酸素";
"A life-supporting colorless and odorless gas.","無色の無色および無臭ガスを支持する。";
"Solar Unit","太陽電池";
"Flashlight Battery Recharge: ","懐中電池の充電：";
"Key Card Tier-2","キーカードTier-2";
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","放棄された集落と鉱山でオシリスのミッションドアを開くために使用される中間レベルのクリアランスキーカード。";
"Light Range Extender","ライトレンジエクステンダ";
