"source","target"
"*OMPA can be programmed to auto repair your colony structures.","* OMPA se puede programar para reparar automáticamente sus estructuras de colonia.;"
"*Repair your structures and equipment with the Multi-Tool.","* Repare sus estructuras y equipos con la multipira.;"
"Driver Training","Entrenamiento del conductor;"
"Planning for Space","Planificación para el espacio;"
"Space Travel","Viaje espacial;"
"Space Walking","Caminata espacial;"
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1. Los vehículos permiten un rápido transporte a través de grandes distancias, movimientos de recursos y más. Hay dos tipos diferentes de vehículos <punto y semicolón> flotando y con ruedas. La durabilidad, la velocidad y la maniobrabilidad varían según el tipo de vehículo. Se pueden construir utilizando el laboratorio. Cada tipo de vehículo requerirá diferentes recursos para navegar.

9-2. Controles de vehículos predeterminados:
Ingrese el vehículo - F Tecla.
Maniobras direccionales - WASD Keys.
Salga del vehículo - F Tecla.

9-3. Tenga en cuenta:
- En ciertos vehículos, mantenga presionada la tecla Shift activará un impulso que utiliza una gran cantidad de combustible para obtener una velocidad adicional.

- Cuando sea en vista de la tercera persona, es posible mirar a la izquierda o hacia la derecha mientras se conduce.

- El vehículo de asalto molido tiene la capacidad de un pasajero adicional que puede controlar la torreta.
;"
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3. Antes de viajar, prepararse en consecuencia. Asegúrese de que el vehículo utilizado para la operación esté adecuadamente alimentado y en buen estado de funcionamiento. Revise el suministro de agua y alimentos para asegurarse de que haya suficiente para sostener para el viaje por delante. Traiga los recursos y suministros necesarios que puedan ser necesarios alejados de la base.
;"
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4. Las naves espaciales tienen una vida traslacional que requieren una gran cantidad de combustible al salir de la atmósfera. Prepararse en consecuencia. Una vez en órbita, la falta de gravedad y fricción permiten menos consumo de combustible. Los siguientes controles se utilizan para el funcionamiento de la nave espacial:

9-5. Controles de superficie predeterminados mientras vuelan:
Comience la nave y acelere - LMB
Tierra y deceleración - RMB
Maniobras direccionales - WASD Keys desde donde sea que el mouse esté apuntando actualmente.
;"
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7. El e.v.a. El traje ha sido diseñado para permitir caminatas espaciales prolongadas. El personal puede encontrarse en una situación de situación donde necesitan abandonar su estación espacial o enviar y comenzar a caminar espacios. Los controles predeterminados para caminar espacios son los siguientes:

Mover hacia adelante - W Tecla
Moverse hacia atrás -
Strae a la izquierda - una llave
Strafe derecha - d llave
Mover hacia arriba - la llave de la barra espaciadora
Mover hacia abajo - Tecla de control izquierdo
Oriente a la cámara - botón derecho del ratón
BOOST - Clave de turno izquierdo
;"
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8. Los vehículos requerirán reparaciones y mantenimiento regular. La herramienta múltiple se puede utilizar para reparar vehículos. Asegúrese de repostar cada vehículo de manera consistente. El reabastecimiento de combustible se realiza utilizando el contenedor que sostiene el combustible. Cuando se le solicite, presione la tecla [F].
;"
"9. Vehicle Piloting and Aeronotics","9. Pilotaje de vehículos y aeronóticos.;"
"Steering Behaviors","Conductas de dirección;"
"Mining","Minería;"
"Repairing","Reparación;"
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1. El asistente personal de Osiris Mission (O.M.P.A.) se desarrolló para ayudar al personal de campo con sus funciones activas en los planetas alienígenas. Cada O.M.P.A. Se ha instalado con un conjunto de algoritmos actualizables que incluyen navegación, reparación, minería y defensa propia.

10-2. Siga: Activar el procedimiento SIGUIENTE se involucra a O.M.P.A. Unidad al personal del camino. Esto mantendrá la unidad cercana para brindar asistencia cuando sea necesario.

10-3. FLANK: La activación del procedimiento del flanco se involucra el O.M.P.A. unidad para liderar. Esta maniobra es ideal para proteger al personal de los ataques que se aproximan. El O.M.P.A. También está equipado con sensores de alta tecnología que pueden detectar peligro rápidamente y comprometer la amenaza antes de que se ponga cerca.

10-4. Participar (pasivo): si se han instalado las actualizaciones necesarias, el O.M.P.A.A. La unidad se involucrará automáticamente amenazas hostiles para proteger al personal humano de las lesiones y prevenir daños estructurales.

10-5. Reparación: activar el procedimiento de reparación involucra el O.M.P.A. Unidad para patrullar un área específica y reparar cualquier estructura de propiedad que haya acumulado cualquier daño.

10-6. Mina: la activación del procedimiento de minas involucra el O.M.P.A. Unidad para patrullar un área específica y los recursos valiosos. Si se han instalado las actualizaciones necesarias, la unidad también podrá detectar unidades de almacenamiento cercanas y descargar los materiales recolectados.

10-7. Summon (Experimental): cada O.M.P.A. ha sido equipado con un mineral recién descubierto que se ha encontrado que contiene propiedades cuánticas manipulables. El material se ha aprovechado para permitir que la unidad se teletranse cuando se activa el procedimiento de convocatoria. El uso de esta función tiene un costo, para proporcionar la energía necesaria para activar la reacción, se drena una gran cantidad de energía de la fuente de alimentación de la batería.;"
"10-8. The O.M.P.A. has been programmed for mining valuable resources scattered across the various terrains of the GLiese 581 System. Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area, mine, and if upgraded with the necessary components, detect nearby storage units and unload the collected resources.
","10-8. El O.M.P.A. Se ha programado para obtener recursos valiosos de la minería dispersos a través de los diversos terrenos del sistema Gliese 581. Activar el procedimiento de minas involucra a O.M.P.A. Unidad para patrullar un área específica, la mía y, si se actualiza con los componentes necesarios, detectó las unidades de almacenamiento cercanas y descargue los recursos recopilados.
;"
"10-9. The O.M.P.A. has been programmed to provide assistance to injured personnel and repair structural damage while patrolling is assigned coordinates. 
","10-9. El O.M.P.A. Se ha programado para brindar asistencia al personal lesionado y reparar daños estructurales, mientras que los patrullantes se les asigna coordenadas.
;"
"10-10. The O.M.P.A. has been programmed to target and engage in combat if equipped with the necessary upgrades. Once achieved the O.M.P.A. will be armed and ready to protect and automatically engage hostile threats.
","10-10. El O.M.P.A. ha sido programado para atacar y participar en combate si está equipado con las actualizaciones necesarias. Una vez logró la O.M.P.A.A. Estará armado y listo para proteger y atacar automáticamente amenazas hostiles.
;"
"10-11. The O.M.P.A. unit requires periodical repair and battery maintenance. When engaging in combat the O.M.P.A. can sustain damage that requires repair. If this occurs, personnel must equip the repair tool and use it on the O.M.P.A. to return it to a working condition. If the O.M.P.A. suffers from battery depletion, it will remain in the same location it lost power. To fix, simply equip a new battery and install in into the O.M.P.A.
","10-11. El O.M.P.A. La unidad requiere reparación periódica y mantenimiento de la batería. Al participar en combate el O.M.P.A. Puede sufrir daños que requieren reparación. Si esto ocurre, el personal debe equipar la herramienta de reparación y usarla en la O.M.P.A.A. para devolverlo a una condición de trabajo. Si el O.M.P.A.A. Sufre de agotamiento de la batería, permanecerá en la misma ubicación que perdió el poder. Para solucionar, simplemente equipe una batería nueva e instale en el O.M.P.A.
;"
"10. Osiris Mission Personal Assistant Manual","10. Manual asistente personal de Osiris Mission.;"
"Alien Plant","Planta alienígena;"
"Blunt Object","Objeto desafilado;"
"Slashing Tool","Herramienta de corte;"
"Sharp Weapon","Arma afilada;"
"Surgical Tool","Herramienta quirúrgica;"
"Extracting Tool","Herramienta de extracción;"
"Discoveries","Descubrimiento;"
"[A] MISSIONS","[A] misiones;"
"SKILLS [D]","Habilidades [d];"
"[A] DISCOVERIES","[A] descubrimientos;"
"INVENTORY [D]","Inventario [d];"
"Bug Report / Feedback","Informe de error / comentarios;"
"Menu","Menú;"
"Settings","Ajustes;"
"Force Kill","Matar a la fuerza;"
"Report Player","Reportar jugador;"
"Main Menu","Menú principal;"
"Exit Game","Salir del juego;"
"Players","Jugadores;"
"Player Name...","Nombre del jugador...;"
"Avatar Name...","Nombre del avatar...;"
"Cheating","Infiel;"
"Additional Comments...","Comentarios adicionales...;"
"Submit","Enviar;"
"Menu Options","Opciones de menú;"
"[A] SKILLS","[A] habilidades;"
"Feedback","Realimentación;"
"Enter feedback here (optional)","Ingrese la retroalimentación aquí (opcional);"
"General Feedback","Retroalimentación general;"
"Gameplay / Balancing","Juego / Equilibrio;"
"Bug / Tech Issue / Frame Rate","ERROR / TECH TECTURO / TARIFA DE FRUTO;"
"Feature Request","Solicitud de función;"
"Include Screenshot","Incluir captura de pantalla;"
"All is good, just giving feedback","Todo es bueno, solo dando feedback.;"
"This is kind of serious","Esto es un poco serio;"
"This is stopping gameplay","Esto es deteniendo el juego;"
"Missions | Logs | Blueprints","Misiones | Registros | Planos;"
"Mission 1 - Explore Proteus 2","Misión 1 - Explora Proteus 2;"
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Ahora que he conseguido un punto de apoyo en este planeta, debería explorar y ver si puedo reagruparme con el equipo de Phoenix. ([F3] abrirá el GPS, su traje tiene un radar instalado que permitirá el escaneo básico. [NUM +] y [NUM -] para cambiar la zoom del mapa).;"
"Mission 2 - N/A","Misión 2 - N / A;"
"Activate new mission in Mission Menu","Activar nueva misión en el menú de la misión.;"
"Mission 3 - N/A","Misión 3 - N / A;"
"Encrypted Disks","Discos cifrados;"
"Item Name","Nombre del árticulo;"
"Decrypt","Descifrar;"
"Are you sure you want to quit to main menu?","¿Está seguro de que desea dejar de fumar en el menú principal?;"
"Placeholder","Parlamentaria;"
"O.M.P.A. Overview","O.M.P.A. Descripción general;"
"dev console commands","Comandos de consola de desarrollo;"
"Push-to-Talk Initializing...","Push-to-hablar inicializando ...;"
"[F1] Push-To-Talk","[F1] Push-To-Talk;"
"Talk now","Habla ahora;"
"World Channel","Canal mundial;"
"Chat Commands","Comandos de chat;"
"[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous whisper","[Pestaña] Canales disponibles para el ciclo
[/ g] canal global
[/ l] canal local
[/ c] canal de colonia
[/ P] Channel de fiesta
[/ w] Whisper Channel
[/ r] Responder al susurro anterior;"
"Equip Locator To Cycle Targets","Equipar localizador a los objetivos de ciclo;"
"Nearest Dish
Scanning...
","Plato más cercano
Exploración...
;"
"Downloading Transmission","Descarga de transmisión;"
"Performing System Dyagnostics_","SISTEMA DE REALIZACIÓN DYAGNOSTICS_;"
"Party Member 1","Miembro de la fiesta 1;"
"Toggle Flashlight [L]","Linterna de palanca [l];"
"Slope:","Pendiente:;"
"SUIT","TRAJE;"
"ENV","Env;"
"Incline","Inclinación;"
"Noise","Ruido;"
"EARLY ACCESS","ACCESO TEMPRANO;"
"This new ability unlocks your wildest dreams!","¡Esta nueva habilidad desbloquea tus sueños más salvajes!;"
"Status","Estado;"
"New Ability","Nueva habilidad;"
"Username","Nombre de usuario;"
"Exit","Salida;"
"Options","Opciones;"
"News","Noticias;"
"Multiplayer","Multijugador;"
"Single Player","Un solo jugador;"
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Alise completamente su propia estación espacial en órbita baja. Todos los módulos de la estación pueden interconectarse en cualquier combinación, lo que permite la flexibilidad total en el diseño y el diseño.

Cada módulo tiene su propio propósito y características, incluidas la creación, los sistemas de energía y el almacenamiento.

Las estaciones espaciales están libres de la erosión y los peligros del planetside existente en una atmósfera, creando una opción estratégica interesante para almacenar recursos valiosos.
;"
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 aprovecha la nueva tecnología que hemos estado desarrollando que agrega varias zonas y áreas a un mundo.

Hemos duplicado la cantidad de texturas mundiales, prestamos millones de cuchillas de hierba, y pobló innumerables nuevos foliages alienígenas, cada uno de los cuales produce diversos recursos.
;"
"Discovery System
","Sistema de descubrimiento
;"
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Ahora todo lo que observes en tus aventuras ahora se pueden descubrir. Mucho más que un simple logro, el sistema de descubrimiento en realidad desbloquea todos los diversos recursos que cualquier recurso encontrado cederá.

Esencialmente, cada arma o herramienta utilizada en un recurso puede producir un artículo diferente, lo que permite una exploración más científica del sistema solar y todas sus formas de vida.
;"
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Los minerales ahora se pueden filtrar en su GPS actualizado. Esta herramienta muy práctica, que ahora está siempre disponible en su HUD y ya no está unida a su localizador, lee desde sus satélites circundantes y su propio radar de traje interno para crear radios de detección.

Este sistema le mostrará a todos los minerales circundantes, su dureza y densidad, para que pueda encontrar lo que está buscando en sus misiones de elaboración.
;"
"Removal of Build Gates
","Eliminación de puertas de construcción
;"
"Options","Opciones;"
"News","Noticias;"
"Multiplayer","Multijugador;"
"Single Player","Un solo jugador;"
"Exit","Salida;"
"New Ability","Nueva habilidad;"
"Status","Estado;"
"EARLY ACCESS","ACCESO TEMPRANO;"
"This new ability unlocks your wildest dreams!","¡Esta nueva habilidad desbloquea tus sueños más salvajes!;"
"Glide Unit Mk. II","Unidad de deslizamiento mk. II;"
"Weight: ","Peso:;"
"Hover Duration: ","Hover Duración:;"
"Hover Height: ","Altura de flores:;"
"Hover Fuel Usage: ","Uso del uso del combustible:;"
"Oxygen Consumption: ","Consumo de oxigeno:;"
"Stamina Usage: ","Uso de la resistencia:;"
"Quartz","Cuarzo;"
"Class: ","Clase:;"
"Amount: ","Monto:;"
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","Un mineral endurecido, blanco y a veces incoloro que consiste en dióxido de silicona.;"
"Cobalt Bolt Rifle","Rifle de perno de cobalto;"
"Bolt Rifle Magazine","Revista de rifle de perno;"
"Remaining Ammo: ","Munición restante:;"
"Clip Size: ","Tamaño del clip:;"
"Damage: ","Daño:;"
"10% critical hit","10% de golpe crítico;"
"Durability Consumption: ","Consumo de durabilidad:;"
"Orcek Meat","Carne de orcek;"
"Health Bonus: ","Bono de salud:;"
"Nutrition Bonus: ","Bono de nutrición:;"
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","La carne se rasgó de inmediato del cuerpo de un orcek. Cocinar para evitar la intoxicación alimentaria.;"
"Gold","Oro;"
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","Un metal suave, maleable, dúctil utilizado principalmente en la producción de dispositivos electrónicos debido a su resistencia a la corrosión y la conductividad eléctrica.;"
"Reactor Cell","Celda de reactor;"
"Total Weight: ","Peso total:;"
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","Cargos de munición por la pistola del reactor. Se usa automáticamente al recargar, si se almacena en su mochila.;"
"Grunt","Gruñido;"
"Strength Boosted: ","Fuerza aumentada:;"
"A strong compound created to give a boost to your carrying capacity.","Un compuesto fuerte creado para dar un impulso a su capacidad de transporte.;"
"02 Pump Unit Mk. III","02 unidad de bomba Mk. III;"
"Oxygen Recharge: ","Recarga de oxígeno:;"
"Stamina Recharge: ","RECARGA DE ESTAMIA:;"
"DIA-72 Assault Rounds","Rondas de asalto DIA-72;"
"20% critical hit","20% de golpe crítico;"
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine avanzada de munición para el rifle de asalto. Se usa automáticamente al recargar, si se almacena en la mochila.;"
"Blood Sausage","Morcilla;"
"Quench Bonus: ","Bonificación de apagado:;"
"Fortitude Boosted: ","Fortaleza impulsada:;"
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","Una deliciosa salchicha creada con sangre extraterrestre congelada rellena en un intestino alienígena. Comer mientras está equipado o directamente del inventario.;"
"Nickel","Níquel;"
"A metal commonly used in various alloys.","Un metal comúnmente utilizado en varias aleaciones.;"
"Branches","Sucursales;"
"Wood is often used to stoke fires.","La madera se usa a menudo para sofocar los incendios.;"
"Crab Shell","Caparazón del cangrejo;"
"Shell taken from a crab monster, often used to make defenses.","Shell tomado de un monstruo de cangrejo, a menudo solía hacer defensas.;"
"Recovery Unit Mk. III","Unidad de recuperación MK. III;"
"Prevents Fall Damage","Evita daños por caída;"
"Hover Fuel Recharge: ","Coloque la recarga de combustible:;"
"Gold Ingot","Lingote de oro;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","Los lingotes son ladrillos de materiales de construcción purificados. Usted usará estos para construir muchas cosas diferentes.

- Punto de fusión: 1064 ° C
;"
"Heat Cell","Célula de calor;"
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","Cargos de munición por la pistola de calor. Se usa automáticamente al recargar, si se almacena en su mochila.;"
"Flourine","Flourina;"
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","Un gas venenoso que causará quemaduras severas, utilizadas en aislamientos de cables y materiales impermeables.;"
"Phencyclidine","Fencticlidina;"
"Potent tranqualizing agent.","Potente agente de tranquilo.;"
"Fire Gem","Gema de fuego;"
"A strange gem that gives off immense heat, its physical properties unknown.","Una extraña gema que emite un inmenso calor, sus propiedades físicas desconocidas.;"
"Alien Organ","Órgano alienígena;"
"An Organ surgically removed from the body of an indigenous alien creature.","Un órgano se retiró quirúrgicamente del cuerpo de una criatura alienígena indígena.;"
"Heat Sink Unit Mk. I","Unidad de disipador de calor MK. I;"
"Cold Resistance: ","Resistencia al frío:;"
"Crab Antenna","Antena de cangrejo;"
"Antenna taken from a crab monsters.","Antena tomada de un monstruo de cangrejo.;"
"Cobalt Assault Rifle","Rifle de asalto de cobalto;"
"0% critical hit","0% de golpe crítico;"
"Mechanized Spanner","Llave inglesa mecanizada;"
"Durability: ","Durabilidad:;"
"Indestructible multi-tool needed for repairing any damaged structures, walls, vehicles, and droids. Also needed to build new walls.","Multi-herramienta indestructible necesaria para reparar cualquier estructura, paredes, vehículos y droides dañados. También se necesita construir nuevas paredes.;"
"Apple","manzana;"
"Nutritious fruit to replenish hunger. Can be eaten while equipped or straight from storage.","Fruta nutritiva para reponer el hambre. Se puede comer mientras está equipado o directamente desde el almacenamiento.;"
"Medical Bandage","Vendaje médico;"
"Heals hitpoints. Can be used while equipped or straight from inventory.","Cura los puntos de golpe. Se puede utilizar mientras está equipado o directamente del inventario.;"
"Scrap Plastic","Plástico de chatarra;"
"Leftover chunk of plastic that need to be melted down and reformed to be useful.","Piedra sobrante de plástico que necesita ser derretido y reformado para ser útil.;"
"Arachnoid Small Leg","Pierna pequeña aracnoidea;"
"The smaller leg of an Arachnoid ripped right off from its body. Used in a variety of crafting recipes.","La pierna más pequeña de un aracnoide se desgarró de su cuerpo. Utilizado en una variedad de recetas de elaboración.;"
"Paradise Bloom","Paradise Bloom;"
"Bloom taken from what looks like an unusual strain of a Birds of Paradise. Can be eaten while equipped or straight from storage.","Bloom tomado de lo que parece una cepa inusual de unas pájaros del paraíso. Se puede comer mientras está equipado o directamente desde el almacenamiento.;"
"U.N.E. Emergency Ration","U.n.e. Ración de emergencia;"
"Packaged nutritional paste commonly found in Emergency kits, can be easily consumed and provides vital sustenance. Eat while equipped or straight from inventory.","La pasta nutricional envasada comúnmente se encuentra en los kits de emergencia, se puede consumir fácilmente y proporciona un sustento vital. Comer mientras está equipado o directamente del inventario.;"
"Small Radar Dish Kit","Kit de plato de radar pequeño;"
"Max Durability: ","Durabilidad máxima:;"
"Kit used to build Small Radar Dish. To build select the Small Radar Dish from the Utilities tab in your Character build Menu.","Kit usado para construir un plato de radar pequeño. Para construir, seleccione el plato de radar pequeño de la pestaña Utilities en el menú de construcción de su carácter.;"
"Mud Cover","Cobertura de lodo;"
"Heat Resistance: ","Resistencia al calor:;"
"Glide Unit Mk. III","Unidad de deslizamiento mk. III;"
"Fuel Compressor Mk. I","Compresor de combustible MK. I;"
"Hover Fuel Amount: ","Cantidad de combustible de flores:;"
"Light Unit","Unidad de luz;"
"Flashlight Power Usage: ","Uso de la energía de la linterna:;"
"Flashlight Range: ","Rango de linterna:;"
"Glide Unit Mk. I","Unidad de deslizamiento mk. I;"
"Heat Pistol","Pistola de calor;"
"Circuit Board","Placa de circuito;"
"Processor used to build complex structures, vehicles, and items.","El procesador se utiliza para construir estructuras complejas, vehículos y artículos.;"
"Plutonium","Plutonio;"
"Highly radioactive energy source.","Fuente de energía altamente radiactiva.;"
"Sand","Arena;"
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","Artículo de elaboración para forjar vidrio en horno o hacer suelo en la mesa de química.;"
"Hose","Manguera;"
"A Rubber hose.","Una manguera de goma.;"
"Lead","Dirigir;"
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","Un metal suave y muy denso que se usa comúnmente para proyectiles y en aplicaciones de blindaje de radiación.;"
"Plutonium Ingot","Lingote de plutonio;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
","Los lingotes son ladrillos de materiales de construcción purificados. Usted usará estos para construir muchas cosas diferentes.

- Punto de fusión: 639.4 ° C
;"
"Fury","Furia;"
"Stamina Boosted: ","Stamina aumentó:;"
"A strong compound created to give you a boost to your stamina.","Un compuesto fuerte creado para darle un impulso a su resistencia.;"
"Cubic Zirconia","Zirconia cúbica;"
"A cut, refined piece of crystalline Zirconium.","Una pieza cortada, refinada de circonio cristalino.;"
"Storage Unit Mk. I","Unidad de almacenamiento MK. I;"
"Adds Inventory Slots: ","Agrega ranuras de inventario:;"
"Tree Sap","Savia del árbol;"
"Viscous liquid used for crafting more advanced items.","Líquido viscoso utilizado para elaborar artículos más avanzados.;"
"Gnat Teeth","Dientes gnat;"
"Crafting item for building weapon modifications, calcium powder and other items.","Artículo de elaboración para construir modificaciones de armas, polvo de calcio y otros artículos.;"
"Potato","Papa;"
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","Alimentos crudos que se pueden comer para reponer el hambre. Es más nutritivo cuando se cocina. Se puede comer mientras está equipado o directamente desde el almacenamiento.;"
"Arachnoid Leg","Pierna aracnoidea;"
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","La pierna arrancó de inmediato del cuerpo de un aracnoide. Utilizado en una variedad de recetas de elaboración.;"
"Sword Leaves","Hojas de espada;"
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Las hojas tomadas de una planta de espada utilizadas como ingrediente para crear diferentes artículos. Se puede comer por un pequeño aumento en la salud y la nutrición.;"
"Sweet Alien Jerky","Dulce alienígena brusca;"
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","Una deliciosa pieza de carne extraña confitada. Comer mientras está equipado o directamente del inventario.;"
"Tool Holster","Funda de herramienta;"
"Tree Bark","Corteza de árbol;"
"Bark taken from an indigenous tree used as an ingredient to craft different items.","La corteza tomada de un árbol indígena utilizado como ingrediente para crear diferentes artículos.;"
"Crab Leg Meat","Carne de pierna de cangrejo;"
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","Carne tomada de la pierna de un monstruo de cangrejo. Cocinar para evitar la intoxicación alimentaria.;"
"Reactor Pistol","Pistola de reactor;"
"Fuel Compressor Mk. II","Compresor de combustible MK. II;"
"Cryo Rifle","Rifle cryo;"
"Stim Unit Mk. III","Unidad de STIV MK. III;"
"Rock","Roca;"
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","Las rocas se utilizan como herramientas y materiales de construcción. Para usarlo como un arma lo convierte en su menú de elaboración a un rock de ataque.;"
"Makeshift Chisel","Chisel improvisado;"
"Hardness: ","Dureza:;"
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","Maestriforme de herramientas romas utilizadas para mineral mineral minerales con una dureza de 3. Puede reutilizarse para combatir el combate cuerpo a cuerpo.;"
"Crude Metal Blade","Hoja de metal crudo;"
"A piece of sharpened metal that can be used to make a basic sword.","Un trozo de metal afilado que se puede usar para hacer una espada básica.;"
"A51 Heavy Assault Rifle","Rifle de asalto pesado A51;"
"Broken Hose","Manguera rota;"
"A damaged section of hose, could be patched up to be operational again.","Una sección dañada de la manguera, podría ser remendada para estar operativa nuevamente.;"
"Crude Metal Axe","Hacha de metal crudo;"
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","Una herramienta de corte que es esencialmente un lingote de metal afilado en un palo con algo de cinta.;"
"Bolt Rifle","Rifle de perno;"
"Scrap Hinge","Bisagra de chatarra;"
"A small hinge salvaged from debris.","Una pequeña bisagra rescatada de los escombros.;"
"Medkit","Botiquín;"
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","Kit médico avanzado que cura muchos puntos de golpe. Se puede utilizar mientras está equipado o directamente del inventario.;"
"Plastic","El plastico;"
"Crafting item for building structures, walls, and other items.","Artículo de elaboración para estructuras de construcción, paredes y otros artículos.;"
"Propellant Tank","Tanque propulsor;"
"Where propellant is stored in a container belonging within a vehicle.","Donde se almacena propulsor en un contenedor que pertenece dentro de un vehículo.;"
"Flare","Llamarada;"
"Bashing Rock","Bashing Rock;"
"Useful when you have no other tools.","Útil cuando no tienes otras herramientas.;"
