"English","italiano";
"*Solar panels must be used to power structures and utilities.","* I pannelli solari devono essere utilizzati per alimentare strutture e utilità.";
"*Create unique structures with custom prefabs.","* Creare strutture uniche con prefabbri personalizzati.";
"*Laboratory is a factory system that can build vehicles and robots.","* Laboratorio è un sistema di fabbrica in grado di costruire veicoli e robot.";
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7. Per mantenere strutture, veicoli e altri elementi importanti nel corretto ordine di lavoro, è necessario eseguire una manutenzione regolare. La manutenzione può essere eseguita con il multi-strumento. Questo è uno strumento indistruttibile utilizzato per riparare strutture danneggiate, veicoli da pareti e droidi.
";
"*OMPA can be programmed to auto repair your colony structures.","* Ompa può essere programmata per riparare automaticamente le tue strutture della colonia.";
"*Repair your structures and equipment with the Multi-Tool.","* Riparare le tue strutture e le tue attrezzature con il multi-strumento.";
"Driver Training","Addestramento del conducente";
"Planning for Space","Pianificazione per lo spazio";
"Space Travel","Viaggio spaziale";
"Space Walking","Camminare spaziale";
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1. I veicoli consentono un rapido trasporto attraverso grandi distanze, spostare risorse e altro ancora. Ci sono due diversi tipi di veicoli <punto e virgola> si libra e ruota. La durata, la velocità e la manovrabilità variano a seconda del tipo di veicolo. Possono essere costruiti usando il laboratorio. Ogni tipo di veicolo richiederà risorse diverse per artigianato.

9-2. Controlli del veicolo predefinito:
Inserisci il tasto del veicolo - F.
Manovre direzionali - tasti WASD.
Esci dal veicolo - F Key.

9-3. Notare che:
- In alcuni veicoli, tenere premuto il tasto MAIUSC attiverà una spinta che utilizza una grande quantità di carburante per ottenere velocità aggiuntiva.

- Quando si trova in terza persona, è possibile guardare a sinistra oa destra durante la guida.

- Il veicolo Assault Ground ha la capacità di un passeggero aggiuntivo che può controllare la torretta.
";
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3. Prima del viaggio, preparati di conseguenza. Assicurarsi che il veicolo utilizzato per il funzionamento sia adeguatamente alimentato e in buon funzionamento. Controllare l'offerta di acqua e alimentare per accertarsi che ci sia abbastanza da sostenere per il viaggio avanti. Portare tutte le risorse e le forniture necessarie che potrebbero essere necessarie mentre sono lontane dalla base.
";
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4. Le astronavi hanno una vita traslazionale che richiede una grande quantità di carburante quando si lascia l'atmosfera. Prepararsi di conseguenza. Una volta in orbita, la mancanza di gravità e l'attrito consentono meno consumo di carburante. I seguenti controlli sono utilizzati per il funzionamento dell'area astronave:

9-5. Controlli superficiali predefiniti mentre voli:
Inizia la nave e accelerare - LMB
Terreno e decelito - RMB
Manovre direzionali - I tasti WASD da dove viene attualmente indicato il mouse.
";
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7. E.V.A. Il vestito è stato progettato per consentire passeggiate spaziali prolungate. Il personale può trovarsi in una situazione in cui hanno bisogno di lasciare la loro stazione spaziale o spedire e iniziare lo spazio a piedi. I controlli predefiniti per lo spazio camminano sono i seguenti:

Sposta avanti - W chiave
Sposta il tasto indietro - S
STAFFA SINISTRA - Una chiave
Strafa Desk - D Key
Sposta verso l'alto - chiave della barra spaziatrice
Sposta il codice di controllo verso il basso - sinistra
Oriente alla fotocamera - pulsante destro del mouse
Boost - Tasto Spostamento sinistro
";
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8. I veicoli richiedono riparazioni e manutenzione regolare. Il multi strumento può essere utilizzato per riparare i veicoli. Assicurati di rifornimento di carburante ogni veicolo su base coerente. Il rifornimento del carburante viene eseguito utilizzando il contenitore che contiene carburante. Quando richiesto, premere il tasto [F].
";
"9. Vehicle Piloting and Aeronotics","9. Pilotaggio del veicolo e aeronatica";
"Steering Behaviors","Comportamenti di guida";
"Mining","Estrazione";
"Repairing","Riparazione";
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1. L'Assistente personale di Mission Osiris (O.M.P.A.) è stato sviluppato per aiutare il personale del campo con i loro doveri attivi sui pianeti alieni. Ogni o.m.p.a. è stato installato con un insieme di algoritmi aggiornabili che includono la navigazione, la riparazione, l'estrazione e l'autodifesa.

10-2. Seguire: Attivazione della procedura Following si impegna a O.M.P.A. unità al personale del trail. Ciò manterrà l'unità nelle vicinanze per fornire assistenza quando necessario.

10-3. Fianco: attivare la procedura di fianco impegna l'O.M.P.A. unità da condurre. Questa manovra è ideale per la protezione del personale da parte del personale da attacchi in arrivo. O.M.P.A. È inoltre dotato di sensori ad alta tecnologia che possono individuare il pericolo rapidamente e coinvolgere la minaccia prima che si sia nelle vicinanze.

10-4. Ingaggi (passivo): se sono stati installati gli aggiornamenti necessari, O.M.P.A. Unità innestarà automaticamente minacce ostili per proteggere il personale umano dalle lesioni e prevenire danni strutturali.

10-5. Riparazione: l'attivazione della procedura di riparazione impegna l'O.M.P.A. Unità per pattugliare un'area specificata e riparare eventuali strutture di proprietà che hanno accumulato alcun danno.

10-6. Il mio: Attivazione della procedura della miniera si impegna a O.M.P.A. unità per pattugliare un'area specificata e la mia eventuali risorse preziose. Se sono stati installati gli aggiornamenti necessari, l'unità sarà anche in grado di rilevare le unità di archiviazione nelle vicinanze e scaricare i materiali raccolti.

10-7. Evocazione (sperimentale): ogni o.m.p.a. è stato dotato di un minerale appena scoperto che è stato trovato per contenere proprietà quantistiche manipolabili. Il materiale è stato sfruttato per consentire all'unità di teletrasportarsi quando viene attivata la procedura di evocazione. L'utilizzo di questa funzione è al costo, al fine di fornire l'energia necessaria per attivare la reazione, una grande quantità di potenza viene scaricata dalla fonte di alimentazione della batteria.";
"10-8. The O.M.P.A. has been programmed for mining valuable resources scattered across the various terrains of the GLiese 581 System. Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area, mine, and if upgraded with the necessary components, detect nearby storage units and unload the collected resources.
","10-8. O.M.P.A. è stato programmato per l'estrazione mineraria di preziose risorse sparse attraverso i vari terreni del sistema Gliese 581. Attivazione della procedura della miniera impegna l'O.M.P.A. Unità per pattugliare un'area specificata, la mia e, se aggiornata con i componenti necessari, rileva le unità di archiviazione nelle vicinanze e scaricano le risorse raccolte.
";
"10-9. The O.M.P.A. has been programmed to provide assistance to injured personnel and repair structural damage while patrolling is assigned coordinates. 
","10-9. O.M.P.A. è stato programmato per fornire assistenza al personale ferito e riparare i danni strutturali mentre pattugliare è assegnata coordinate.
";
"10-10. The O.M.P.A. has been programmed to target and engage in combat if equipped with the necessary upgrades. Once achieved the O.M.P.A. will be armed and ready to protect and automatically engage hostile threats.
","10-10. O.M.P.A. è stato programmato per indirizzare e impegnarsi in combattimento se equipaggiato con gli aggiornamenti necessari. Una volta raggiunto l'O.M.P.A. sarà armato e pronto per proteggere e coinvolgere automaticamente minacce ostili.
";
"10-11. The O.M.P.A. unit requires periodical repair and battery maintenance. When engaging in combat the O.M.P.A. can sustain damage that requires repair. If this occurs, personnel must equip the repair tool and use it on the O.M.P.A. to return it to a working condition. If the O.M.P.A. suffers from battery depletion, it will remain in the same location it lost power. To fix, simply equip a new battery and install in into the O.M.P.A.
","10-11. O.M.P.A. L'unità richiede la riparazione periodica e la manutenzione della batteria. Quando si impegna nel combattere l'O.M.P.A. può sostenere danni che richiede la riparazione. Se ciò si verifica, il personale deve dotare lo strumento di riparazione e usarlo su O.M.P.A. per restituirlo a una condizione di lavoro. Se O.M.P.A. Soffre da esaurimento della batteria, rimarrà nella stessa posizione che ha perso il potere. Per correggere, semplicemente equipaggiare una nuova batteria e installare in O.M.P.A.
";
"10. Osiris Mission Personal Assistant Manual","10. Manuale dell'Assistente personale di Missione Osiris";
"Alien Plant","Pianta aliena";
"Blunt Object","Oggetto contundente";
"Slashing Tool","Strumento di taglio";
"Sharp Weapon","Arma affilata";
"Surgical Tool","Strumento chirurgico";
"Extracting Tool","Strumento di estrazione";
"Discoveries","Scoperte";
"[A] MISSIONS","[A] missioni";
"SKILLS [D]","Abilità [D]";
"[A] DISCOVERIES","[A] scoperte";
"INVENTORY [D]","Inventario [D]";
"Bug Report / Feedback","Bug Report / Feedback";
"Menu","Menù";
"Settings","impostazioni";
"Force Kill","Forza di forza";
"Report Player","Segnala il lettore";
"Main Menu","Menu principale";
"Exit Game","Esci da Game.";
"Players","Giocatori";
"Player Name...","Nome del giocatore...";
"Avatar Name...","Nome Avatar ...";
"Cheating","Imbrogliare";
"Additional Comments...","Commenti aggiuntivi...";
"Submit","Invia";
"Menu Options","Opzioni del menu";
"[A] SKILLS","[A] Abilità";
"Feedback","Risposta";
"Enter feedback here (optional)","Inserisci il feedback qui (facoltativo)";
"General Feedback","Feedback generale";
"Gameplay / Balancing","Gameplay / Bilanciamento";
"Bug / Tech Issue / Frame Rate","Problema Bug / Tech / Frame Rate";
"Feature Request","Richiesta di funzionalità";
"Include Screenshot","Includi screenshot.";
"All is good, just giving feedback","Tutto è buono, basta dare un feedback";
"This is kind of serious","Questo è un po 'serio";
"This is stopping gameplay","Questo sta fermando il gameplay";
"Missions | Logs | Blueprints","Missioni | Log |. Blueprints.";
"Mission 1 - Explore Proteus 2","Missione 1 - Esplora Proteus 2";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Ora che ho ottenuto un punto d'appoggio su questo pianeta, dovrei esplorare e vedere se riesco a raggruppare con il team di Phoenix. ([F3] si aprirà il GPS, il tuo abito ha un radar installato che consentirà la scansione di base. [NUM +] e [NUM -] per cambiare lo zoom della mappa.)";
"Mission 2 - N/A","Missione 2 - N / A";
"Activate new mission in Mission Menu","Attiva nuova missione nel menu di missione";
"Mission 3 - N/A","Missione 3 - N / A";
"Encrypted Disks","Dischi crittografati";
"Item Name","Nome dell'elemento";
"Decrypt","Decrypt.";
"Are you sure you want to quit to main menu?","Sei sicuro di voler uscire al menu principale?";
"Placeholder","Segnaposto";
"O.M.P.A. Overview","O.m.p.a. Panoramica";
"dev console commands","Dev console comandi";
"Push-to-Talk Initializing...","Push-to-talk Initialize ...";
"[F1] Push-To-Talk","[F1] push-to-talk";
"Talk now","Parla ora";
"World Channel","Canale mondiale";
"Chat Commands","Comandi di chat";
"[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous whisper","[Scheda] Ciclo Canali disponibili
[/ G] Canale globale
[/ l] canale locale
[/ c] canale della colonia
[/ P] Channel Party
[/ W] Whisper Channel
[/ R] Rispondi al sussurro precedente";
"Equip Locator To Cycle Targets","Equipaggiare il localizzatore per ciclare bersagli";
"Nearest Dish
Scanning...
","Piatto più vicino
Scansione ...
";
"Downloading Transmission","Download della trasmissione";
"Performing System Dyagnostics_","Esecuzione del sistema DYAGNOSTICS_";
"Party Member 1","Membro del partito 1.";
"Toggle Flashlight [L]","Toggle Torcia [L]";
"Slope:","Pendio:";
"SUIT","COMPLETO DA UOMO";
"ENV","Envino";
"Incline","Inclinazione";
"Noise","Rumore";
"EARLY ACCESS","ACCESSO ANTICIPATO";
"This new ability unlocks your wildest dreams!","Questa nuova abilità sblocca i tuoi sogni più selvaggi!";
"Status","Stato";
"New Ability","Nuova abilità";
"Username","Nome utente";
"Exit","Uscita";
"Options","Opzioni";
"News","notizia";
"Multiplayer","MULTIPLAYER.";
"Single Player","Giocatore singolo";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Crafting completamente la tua stazione spaziale in orbita bassa. Tutti i moduli della stazione possono interconnettere in qualsiasi combinazione, consentendo la flessibilità totale nel design e nel layout.

Ogni modulo ha il proprio scopo e caratteristiche, tra cui elaborare, sistemi di alimentazione e stoccaggio.

Le stazioni spaziali sono gratuite dall'erosione e dai pericoli del pianeti esistente in un'atmosfera, creando un'opzione strategica interessante per archiviare risorse preziose.
";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 sfrutta la nuova tecnologia che abbiamo sviluppato che aggiunge varie zone e aree in un mondo.

Abbiamo raddoppiato la quantità di trame del mondo, ha reso milioni di lame d'erba, e popolati innumerevoli nuovi foliamenti aliene nuovi - ciascuno che produce varie risorse.
";
"Discovery System
","Sistema di scoperta
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Tutto ciò che osservi sulle tue avventure può ora essere scoperto. Molto più di un semplice risultato, il sistema di scoperta invoca effettivamente tutte le varie risorse qualsiasi risorsa trovata cederanno.

Essenzialmente, ogni arma o strumento utilizzata su una risorsa può produrre un oggetto diverso, consentendo un'esplorazione molto più scientifica del sistema solare e tutte le sue forme di vita.
";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","I minerali possono ora essere filtrati sul tuo GPS aggiornato. Questo strumento molto utile, che ora è sempre disponibile nel tuo HUD e non più collegato al tuo localizzatore, legge dai satelliti circostanti e dal tuo radar interno interno per creare Radii di rilevamento.

Questo sistema ti mostrerà tutti i minerali circostanti, la loro durezza e densità, quindi puoi trovare ciò che stai cercando nelle tue missioni di crafting.
";
"Removal of Build Gates
","Rimozione di cancelli di costruzione
";
"Options","Opzioni";
"News","notizia";
"Multiplayer","MULTIPLAYER.";
"Single Player","Giocatore singolo";
"Exit","Uscita";
"New Ability","Nuova abilità";
"Status","Stato";
"EARLY ACCESS","ACCESSO ANTICIPATO";
"This new ability unlocks your wildest dreams!","Questa nuova abilità sblocca i tuoi sogni più selvaggi!";
"Glide Unit Mk. II","Glide Unit Mk. II.";
"Weight: ","Peso:";
"Hover Duration: ","Durata dell'over:";
"Hover Height: ","Altezza panoramica:";
"Hover Fuel Usage: ","Utilizzo del carburante all'avvio:";
"Oxygen Consumption: ","Consumo di ossigeno:";
"Stamina Usage: ","Utilizzo della resistenza:";
"Quartz","Quarzo";
"Class: ","Classe:";
"Amount: ","Quantità:";
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","Un minerale temprato, bianco e talvolta incolore che consiste nel diossido di silicio.";
"Cobalt Bolt Rifle","Fucile bullone cobalto";
"Bolt Rifle Magazine","Bullone Rifle Magazine.";
"Remaining Ammo: ","Ammo rimanenti:";
"Clip Size: ","Dimensione del filmato:";
"Damage: ","Danno:";
"10% critical hit","Colpo critico del 10%";
"Durability Consumption: ","Consumo di durata:";
"Orcek Meat","Carne di orcek.";
"Health Bonus: ","Bonus sanitario:";
"Nutrition Bonus: ","Bonus nutrizionale:";
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","Carne strappata proprio dal corpo di un orcek. Cuocere per evitare l'avvelenamento da cibo.";
"Gold","Oro";
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","Un metallo morbido, malleabile e duttile utilizzato principalmente nella produzione di dispositivi elettronici dovuti alla sua resistenza alla corrosione e alla conduttività elettrica.";
"Reactor Cell","Cellula del reattore";
"Total Weight: ","Peso totale:";
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","Abiti di munizioni per la pistola del reattore. Viene utilizzato automaticamente quando si ricarica, se memorizzati nello zaino.";
"Grunt","Grugnito";
"Strength Boosted: ","Forza aumentata:";
"A strong compound created to give a boost to your carrying capacity.","Un forte composto creato per dare una spinta alla tua capacità di carico.";
"02 Pump Unit Mk. III","02 unità pompa MK. III.";
"Oxygen Recharge: ","Ricarica di ossigeno:";
"Stamina Recharge: ","STAMINA Ricarica:";
"DIA-72 Assault Rounds","Round d'assalto DIA-72";
"20% critical hit","Colpo critico del 20%";
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine AMMO avanzata per il fucile d'assalto. Viene utilizzato automaticamente quando si ricarica, se conservato nello zaino.";
"Blood Sausage","Salsiccia sanguigna";
"Quench Bonus: ","Bonus di quench:";
"Fortitude Boosted: ","Fortitude ha aumentato:";
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","Una deliziosa salsiccia creata con sangue alieno congebato ripieno in un intestino alieno. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Nickel","Nichel";
"A metal commonly used in various alloys.","Un metallo comunemente usato in varie leghe.";
"Branches","Rami";
"Wood is often used to stoke fires.","Il legno è spesso usato per girare gli incendi.";
"Crab Shell","Guscio di granchio";
"Shell taken from a crab monster, often used to make defenses.","Guscio prelevato da un mostro di granchio, spesso usato per effettuare difese.";
"Recovery Unit Mk. III","Unità di recupero MK. III.";
"Prevents Fall Damage","Previene il danno da caduta";
"Hover Fuel Recharge: ","Ricarica del carburante all'avvio:";
"Gold Ingot","Lingotto d'oro";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 1064 ° C
";
"Heat Cell","Cella di calore";
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","Abiti di munizioni per la pistola termica. Viene utilizzato automaticamente quando si ricarica, se memorizzati nello zaino.";
"Flourine","Farina";
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","Un gas velenoso che causerà gravi ustioni, utilizzate negli isolamenti dei cavi e nei materiali impermeabili.";
"Phencyclidine","Fencyclidina.";
"Potent tranqualizing agent.","Potente agente tranquillo.";
"Fire Gem","Gemma del fuoco";
"A strange gem that gives off immense heat, its physical properties unknown.","Uno strano gemma che emette un calore immenso, le sue proprietà fisiche sconosciute.";
"Alien Organ","Organo alieno";
"An Organ surgically removed from the body of an indigenous alien creature.","Un organo rimosso chirurgicamente dal corpo di una creatura aliena indigena.";
"Heat Sink Unit Mk. I","Unità del dissipatore di calore MK. io";
"Cold Resistance: ","Resistenza a freddo:";
"Crab Antenna","Antenna di granchio";
"Antenna taken from a crab monsters.","Antenna presa da un granchio mostri.";
"Cobalt Assault Rifle","Fucile d'assalto cobalto";
"0% critical hit","0% di successo critico";
"Mechanized Spanner","Spanner meccanizzato";
"Durability: ","Durata:";
"Indestructible multi-tool needed for repairing any damaged structures, walls, vehicles, and droids. Also needed to build new walls.","Multi-strumento indistruttibile per riparare eventuali strutture, pareti, veicoli e droidi danneggiati. Necessario anche per costruire nuove pareti.";
"Apple","Mela";
"Nutritious fruit to replenish hunger. Can be eaten while equipped or straight from storage.","Frutta nutriente per ricostituire la fame. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione.";
"Medical Bandage","Benda medica";
"Heals hitpoints. Can be used while equipped or straight from inventory.","Guarisce gli hitpoint. Può essere utilizzato mentre equipaggiato o direttamente dall'inventario.";
"Scrap Plastic","Rottami di plastica";
"Leftover chunk of plastic that need to be melted down and reformed to be useful.","Blocco rimanente di plastica che deve essere sciolto e riformato per essere utile.";
"Arachnoid Small Leg","Aracnoide piccola gamba.";
"The smaller leg of an Arachnoid ripped right off from its body. Used in a variety of crafting recipes.","La gamba più piccola di un aracnoide ha strappato subito dal suo corpo. Utilizzato in una varietà di ricette di crafting.";
"Paradise Bloom","Paradise Bloom.";
"Bloom taken from what looks like an unusual strain of a Birds of Paradise. Can be eaten while equipped or straight from storage.","Fioritura prelevata da quello che sembra una tensione insolita di un uccello di paradiso. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione.";
"U.N.E. Emergency Ration","U.n.e.e. Razione di emergenza";
"Packaged nutritional paste commonly found in Emergency kits, can be easily consumed and provides vital sustenance. Eat while equipped or straight from inventory.","Pasta nutrizionale confezionata comunemente trovata nei kit di emergenza, può essere facilmente consumata e fornisce sostentamento vitale. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Small Radar Dish Kit","Kit per piatti radar piccoli";
"Max Durability: ","Durata massima:";
"Kit used to build Small Radar Dish. To build select the Small Radar Dish from the Utilities tab in your Character build Menu.","Kit utilizzato per costruire un piccolo piatto radar. Per creare seleziona il piccolo piatto radar dalla scheda Utilities nel menu Build Carattere.";
"Mud Cover","Copertura del fango";
"Heat Resistance: ","Resistenza al calore:";
"Glide Unit Mk. III","Glide Unit Mk. III.";
"Fuel Compressor Mk. I","Compressore del carburante MK. io";
"Hover Fuel Amount: ","Importo del carburante del passaggio del volo:";
"Light Unit","Unità leggera";
"Flashlight Power Usage: ","Utilizzo di potenza torcia:";
"Flashlight Range: ","Intervallo di torcia:";
"Glide Unit Mk. I","Glide Unit Mk. io";
"Heat Pistol","Pistola di calore";
"Circuit Board","Scheda di circuito";
"Processor used to build complex structures, vehicles, and items.","Processore utilizzato per costruire strutture, veicoli e articoli complessi.";
"Plutonium","Plutonio";
"Highly radioactive energy source.","Fonte di energia altamente radioattiva.";
"Sand","Sabbia";
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","Articolo di crafting per forgiare il vetro in forno o fare terreno in tavola di chimica.";
"Hose","Tubo flessibile";
"A Rubber hose.","Un tubo di gomma.";
"Lead","Condurre";
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","Un metallo morbido e molto denso comunemente utilizzato per i proiettili e nelle applicazioni di schermatura delle radiazioni.";
"Plutonium Ingot","Lingotto di plutonio";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 639,4 ° C
";
"Fury","Furia";
"Stamina Boosted: ","Stamina ha aumentato:";
"A strong compound created to give you a boost to your stamina.","Un forte composto creato per darti una spinta alla tua resistenza.";
"Cubic Zirconia","Zirconia cubica";
"A cut, refined piece of crystalline Zirconium.","Un pezzo raffinato e raffinato di zirconio cristallino.";
"Storage Unit Mk. I","Stoccaggio MK. io";
"Adds Inventory Slots: ","Aggiunge slot inventario:";
"Tree Sap","Linfa degli alberi";
"Viscous liquid used for crafting more advanced items.","Liquido viscoso utilizzato per l'elaborazione di articoli più avanzati.";
"Gnat Teeth","Denti di gnat.";
"Crafting item for building weapon modifications, calcium powder and other items.","Articolo di crafting per la costruzione di modifiche dell'arma, polvere di calcio e altri oggetti.";
"Potato","Patata";
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","Cibo crudo che può essere mangiato per ricostituire la fame. È più nutriente quando cotto. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione.";
"Arachnoid Leg","Gamba aracnoidea";
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","La gamba strappata proprio dal corpo di un aracnoide. Utilizzato in una varietà di ricette di crafting.";
"Sword Leaves","Foglie di spada.";
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Foglie prese da una pianta di spada usata come ingrediente per creare oggetti diversi. Può essere mangiato per un piccolo aumento della salute e della nutrizione.";
"Sweet Alien Jerky","Dolce alieno a scatti";
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","Un delizioso pezzo di carne aliena candita. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Tool Holster","Fondina per utensili";
"Tree Bark","Corteccia di albero";
"Bark taken from an indigenous tree used as an ingredient to craft different items.","Bark prese da un albero indigeno usato come ingrediente per creare oggetti diversi.";
"Crab Leg Meat","Carne di gamba di granchio";
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","Carne presa dalla gamba di un mostro di granchio. Cuocere per evitare l'avvelenamento da cibo.";
"Reactor Pistol","Pistola del reattore";
"Fuel Compressor Mk. II","Compressore del carburante MK. II.";
"Cryo Rifle","Cryo Rifle.";
"Stim Unit Mk. III","Stim Unità MK. III.";
"Rock","Roccia";
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","Le rocce sono utilizzate come strumenti e materiali da costruzione. Per usarlo come un'arma convertirla nel tuo menu di lavorazione in una roccia colpita.";
"Makeshift Chisel","Scalpello improvvisato";
"Hardness: ","Durezza:";
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","Attrezzo smussato improvvisato utilizzato per minerali minerali minerari con durezza di 3. Può essere riutilizzato per il combattimento corpo a corpo.";
"Crude Metal Blade","Blade in metallo grezzo";
"A piece of sharpened metal that can be used to make a basic sword.","Un pezzo di metallo affilato che può essere usato per fare una spada di base.";
"A51 Heavy Assault Rifle","A51 fucile d'assalto pesante";
"Broken Hose","Tubo rotto";
"A damaged section of hose, could be patched up to be operational again.","Una sezione danneggiata del tubo, potrebbe essere rattoppata per essere di nuovo operativa.";
"Crude Metal Axe","Ascia in metallo grezzo";
