"English","Français";
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7. Pour conserver des structures, des véhicules et d'autres éléments importants dans une bonne commande de fonctionnement, effectuer une maintenance régulière est nécessaire. La maintenance peut être effectuée avec le multi-outil. Ceci est un outil indestructible utilisé pour la réparation des structures endommagées, des véhicules de murs et des droïdes.
";
"*OMPA can be programmed to auto repair your colony structures.","* OMPA peut être programmé pour réparer automatiquement vos structures de colonies.";
"*Repair your structures and equipment with the Multi-Tool.","* Réparez vos structures et équipements avec le multi-outil.";
"Driver Training","Formation du conducteur";
"Planning for Space","Planification de l'espace";
"Space Travel","Voyage dans l'espace";
"Space Walking","Espace de marche";
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1. Les véhicules permettent un transport rapide sur de grandes distances, des ressources en mouvement et plus encore. Il existe deux types de véhicules différents <point-virgule> planant et roues. La durabilité, la vitesse et la manœuvrabilité varient en fonction du type de véhicule. Ils peuvent être construits en utilisant le laboratoire. Chaque type de véhicule nécessitera des ressources différentes pour faire de l'artisanat.

9-2. Contrôles de véhicule par défaut:
Entrez la clé du véhicule - F.
Manœuvres directionnelles - Touches WASD.
Quittez la clé du véhicule - F.

9-3. Veuillez noter:
- Dans certains véhicules, maintenez la touche Maj activera un boost qui utilise une grande quantité de carburant pour gagner une vitesse supplémentaire.

- Quand en vue de la troisième personne, il est possible de regarder à gauche ou à droite en conduisant.

- Le véhicule d'assaut au sol a la capacité d'un passager supplémentaire qui peut contrôler la tourelle.
";
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3. Avant de sortir, préparez-vous en conséquence. Assurez-vous que le véhicule utilisé pour le fonctionnement est alimenté de manière adéquate et en bon état de fonctionnement. Vérifiez l'eau et l'approvisionnement alimentaire pour s'assurer qu'il y a suffisamment de supporter pour le voyage à venir. Apportez les ressources nécessaires et les fournitures pouvant être nécessaires à l'abri de la base.
";
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4. Les vaisseaux spatiaux ont une durée de vie transparente qui nécessite une grande quantité de carburant lors de la sortie de l'atmosphère. Préparez-vous en conséquence. Une fois en orbite, le manque de gravité et du frottement permettent une consommation moins de carburant. Les commandes suivantes sont utilisées pour le fonctionnement du vaisseau spatial:

9-5. Contrôles de surface par défaut en vol:
Démarrer le navire et accélérer - LMB
Terre et décelerate - RMB
Manœuvres directionnelles - Touches WASD de l'endroit où la souris est actuellement pointue.
";
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7. Le E.V.A. Le costume a été conçu pour permettre des promenades spatiales prolongées. Le personnel peut se retrouver dans une situation difficile où ils doivent laisser leur station spatiale ou leur navire et commencer la marche spatiale. Les contrôles par défaut pour la marche de l'espace sont les suivants:

Avancer - W
Déplacer la clé en arrière
Strafe Gauche - une clé
Strafe Droite - D
Déplacer le haut - clé de la barre d'espace
Déplacer vers le bas - Touche de contrôle gauche
Orient to Camera - Bouton de souris droit
Boost - clé de quart de vitesse gauche
";
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8. Les véhicules nécessiteront des réparations et une maintenance régulière. L'outil multi-outil peut être utilisé pour réparer les véhicules. Assurez-vous de faire le plein de carburant de chaque véhicule de manière cohérente. Le ravitaillement en carburant est effectué en utilisant le conteneur qui contient du carburant. Lorsque vous y êtes invité, appuyez sur la touche [F].
";
"9. Vehicle Piloting and Aeronotics","9. Véhicule pilotage et aéronotique";
"Steering Behaviors","Comportements de pilotage";
"Mining","Exploitation minière";
"Repairing","Réparation";
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1. L'assistant personnel d'Osiris Mission (O.M.P.A.) a été élaboré pour aider le personnel sur le terrain avec leurs tâches actives sur des planètes extraterrestres. Chaque o.p.a. A été installé avec un ensemble d'algorithmes d'évolutions comprenant la navigation, la réparation, l'exploitation minière et la légitime défense.

10-2. Suivre: Activer la procédure suivante engage le O.M.P.A. unité du personnel de sentier. Cela gardera l'unité à proximité de fournir une assistance en cas de besoin.

10-3. FLANK: L'activation de la procédure de flanc engage le O.M.P.A. unité à mener. Cette manœuvre est idéale pour la garde du personnel des attaques venant en sens inverse. Le o.m.p.a. Est également équipé de capteurs de haute technologie pouvant repérer un danger rapidement et engager la menace avant qu'elle ne se rapproche.

10-4. S'engager (passif): si les mises à niveau nécessaires ont été installées, l'O.M.P.A. L'unité engagera automatiquement des menaces hostiles pour protéger le personnel humain des blessures et prévenir les dommages structurels.

10-5. Réparation: Activation de la procédure de réparation engage le O.M.P.A. unité de patrouille d'une zone spécifiée et réparer toutes les structures appartenant à des dommages accumulés.

10-6. MINE: L'activation de la procédure minière engage le O.M.P.A. unité de patrouille une zone spécifiée et de la mine toute ressource précieuse. Si les mises à niveau nécessaires ont été installées, l'unité sera également en mesure de détecter les unités de stockage à proximité et de décharger les matériaux collectés.

10-7. Invocation (expérimental): chaque o.p.a. A été équipé d'un minéral nouvellement découvert qui a été trouvé contenant des propriétés quantiques manipulables. Le matériau a été exploité pour permettre à l'unité de téléporter lorsque la procédure d'invocation est activée. L'utilisation de cette fonctionnalité arrive à un coût, afin de fournir l'énergie nécessaire à activer la réaction, une grande quantité d'énergie est drainée à partir de la source d'alimentation de la batterie.";
"10-8. The O.M.P.A. has been programmed for mining valuable resources scattered across the various terrains of the GLiese 581 System. Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area, mine, and if upgraded with the necessary components, detect nearby storage units and unload the collected resources.
","10-8. Le o.m.p.a. A été programmé pour minier des ressources précieuses dispersées sur les différents terrains du système GLIESE 581. L'activation de la procédure minière engage le O.M.P.A. Unité de patrouille une zone spécifiée, une mine et une mise à niveau avec les composants nécessaires, détectez les unités de stockage à proximité et déchargez les ressources collectées.
";
"10-9. The O.M.P.A. has been programmed to provide assistance to injured personnel and repair structural damage while patrolling is assigned coordinates. 
","10-9. Le o.m.p.a. A été programmé pour fournir une assistance au personnel blessé et réparer les dommages structurels tandis que les patrouilles sont attribuées des coordonnées.
";
"10-10. The O.M.P.A. has been programmed to target and engage in combat if equipped with the necessary upgrades. Once achieved the O.M.P.A. will be armed and ready to protect and automatically engage hostile threats.
","10-10. Le o.m.p.a. a été programmé pour cibler et engager un combat si équipé des mises à niveau nécessaires. Une fois obtenu l'O.M.P.A. sera armé et prêt à protéger et à engager automatiquement des menaces hostiles.
";
"10-11. The O.M.P.A. unit requires periodical repair and battery maintenance. When engaging in combat the O.M.P.A. can sustain damage that requires repair. If this occurs, personnel must equip the repair tool and use it on the O.M.P.A. to return it to a working condition. If the O.M.P.A. suffers from battery depletion, it will remain in the same location it lost power. To fix, simply equip a new battery and install in into the O.M.P.A.
","10-11. Le o.m.p.a. Unité nécessite une réparation périodique et une maintenance de la batterie. Lorsque vous engagez dans la lutte contre l'O.M.P.A. peut endommager les dommages nécessitant une réparation. Si cela se produit, le personnel doit équiper l'outil de réparation et l'utiliser sur l'O.M.P.A. pour le retourner à une condition de travail. Si le O.M.P.A. souffre d'une épuisement de la batterie, il restera au même endroit qu'il a perdu la puissance. Pour corriger, équiper simplement une nouvelle batterie et installer dans l'O.M.P.A.
";
"10. Osiris Mission Personal Assistant Manual","10. Manuel d'assistant personnel d'Osiris Mission";
"Alien Plant","Plante étranger";
"Blunt Object","Objet contondant";
"Slashing Tool","Outil de sauvetage";
"Sharp Weapon","Arme aiguë";
"Surgical Tool","Outil chirurgical";
"Extracting Tool","Outil d'extraction";
"Discoveries","Découvertes";
"[A] MISSIONS","[A] missions";
"SKILLS [D]","Compétences [D]";
"[A] DISCOVERIES","[A] découvertes";
"INVENTORY [D]","Inventaire [D]";
"Bug Report / Feedback","Rapport de bogue / commentaires";
"Menu","Menu";
"Settings","Paramètres";
"Force Kill","Forcer";
"Report Player","Signaler un joueur";
"Main Menu","Menu principal";
"Exit Game","Quitter le jeu";
"Players","Joueurs";
"Player Name...","Nom de joueur...";
"Avatar Name...","Pseudonyme...";
"Cheating","La triche";
"Additional Comments...","Commentaires supplémentaires ...";
"Submit","Soumettre";
"Menu Options","Options de menu";
"[A] SKILLS","[A] compétences";
"Feedback","Retour";
"Enter feedback here (optional)","Entrez les commentaires ici (facultatif)";
"General Feedback","Commentaires généraux";
"Gameplay / Balancing","Gameplay / Équilibrage";
"Bug / Tech Issue / Frame Rate","Bug / Tech Problème / Taux de trame";
"Feature Request","Demande de fonctionnalité";
"Include Screenshot","Inclure la capture d'écran";
"All is good, just giving feedback","Tout va bien, juste donner des commentaires";
"This is kind of serious","C'est une sorte de sérieux";
"This is stopping gameplay","C'est arrêter le gameplay";
"Missions | Logs | Blueprints","Missions | Journaux | Planprints";
"Mission 1 - Explore Proteus 2","Mission 1 - Explore Proteus 2";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Maintenant que j'ai eu un pied sur cette planète, je devrais explorer et voir si je peux regrouper avec l'équipe Phoenix. ([F3] ouvrira le GPS, votre costume a un radar installé qui permettra une numérisation de base. [Num +] et [num -] pour changer le zoom de la carte.)";
"Mission 2 - N/A","Mission 2 - N / A";
"Activate new mission in Mission Menu","Activer la nouvelle mission dans le menu de la mission";
"Mission 3 - N/A","Mission 3 - N / A";
"Encrypted Disks","Disques cryptés";
"Item Name","Nom de l'article";
"Decrypt","Déchiffrer";
"Are you sure you want to quit to main menu?","Êtes-vous sûr de vouloir quitter le menu principal?";
"Placeholder","Espace réservé";
"O.M.P.A. Overview","O.p.a. Aperçu";
"dev console commands","commandes de console de dev";
"Push-to-Talk Initializing...","Initialisation push-to-talk ...";
"[F1] Push-To-Talk","[F1] Push-to-Talk";
"Talk now","Parler maintenant";
"World Channel","Canal mondial";
"Chat Commands","Commandes de discussion";
"[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous whisper","[TAB] CYCLE CHAUBLES DISPONIBLES
[/ g] canal mondial
[/ l] canal local
[/ c] Colony Channel
[/ P] canal de fête
[/ W] Whisper Channel
[/ r] Répondre à un murmure précédent";
"Equip Locator To Cycle Targets","Équiper le localisateur aux cibles du cycle";
"Nearest Dish
Scanning...
","Plat le plus proche
Balayage...
";
"Downloading Transmission","Téléchargement de la transmission";
"Performing System Dyagnostics_","Système de performance Dyagnostics_";
"Party Member 1","Membre du parti 1";
"Toggle Flashlight [L]","Basculer la lampe de poche [L]";
"Slope:","Pente:";
"SUIT","COSTUME";
"ENV","Env";
"Incline","Inclinaison";
"Noise","Bruit";
"EARLY ACCESS","ACCÈS ANTICIPÉ";
"This new ability unlocks your wildest dreams!","Cette nouvelle capacité déverrouille vos rêves les plus fous!";
"Status","Statut";
"New Ability","Nouvelle capacité";
"Username","Nom d'utilisateur";
"Exit","Sortir";
"Options","Option";
"News","Nouvelles";
"Multiplayer","Multijoueur";
"Single Player","Joueur unique";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Créez entièrement votre propre station spatiale en orbite faible. Tous les modules de la station peuvent s'informer de n'importe quelle combinaison, permettant une flexibilité totale dans la conception et la mise en page.

Chaque module a son propre objectif et ses fonctionnalités, y compris les fabricants, les systèmes d'alimentation et le stockage.

Les stations spatiales sont exemptes d'érosion et de dangers de la planification existante dans une atmosphère, créant une option stratégique intéressante pour stocker des ressources précieuses.
";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","ProTeus 2 tire parti de la nouvelle technologie que nous développons qui ajoute diverses zones et zones dans un monde.

Nous avons doublé la quantité de textures du monde, rendu des millions de lames d'herbe et peuplé d'innombrables nouveaux foliaires extraterrestres - chacun donnant diverses ressources.
";
"Discovery System
","Système de découverte
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Tout ce que vous observez sur vos aventures peut maintenant être découvert. Bien plus qu'une simple réalisation, le système de découverte déverrouille en fait toutes les ressources différentes de toute ressource trouvée.

Essentiellement, chaque arme ou outil utilisé sur une ressource peut générer un élément différent, permettant une exploration beaucoup plus scientifique du système solaire et de toutes ses formes de vie.
";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Les minéraux peuvent maintenant être filtrés sur votre GPS mis à jour. Cet outil très pratique, qui est maintenant toujours disponible dans votre HUD et n'est plus attaché à votre localisateur, lit depuis vos satellites environnants et votre propre radar de costume interne pour créer des rayons de détection.

Ce système vous montrera tous les minéraux environnants, leur dureté et leur densité, afin que vous puissiez trouver ce que vous recherchez dans vos missions d'artisanat.
";
"Removal of Build Gates
","Enlèvement des portes de construction
";
"Options","Option";
"News","Nouvelles";
"Multiplayer","Multijoueur";
"Single Player","Joueur unique";
"Exit","Sortir";
"New Ability","Nouvelle capacité";
"Status","Statut";
"EARLY ACCESS","ACCÈS ANTICIPÉ";
"This new ability unlocks your wildest dreams!","Cette nouvelle capacité déverrouille vos rêves les plus fous!";
"Glide Unit Mk. II","Glide Unité mk. Ii";
"Weight: ","Poids:";
"Hover Duration: ","Durée du vol stationnaire:";
"Hover Height: ","Hauteur survolée:";
"Hover Fuel Usage: ","Survolez l'utilisation du carburant:";
"Oxygen Consumption: ","Consommation d'oxygène:";
"Stamina Usage: ","Usage d'endurance:";
"Quartz","Quartz";
"Class: ","Classer:";
"Amount: ","Montant:";
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","Un minéral durci, blanc et parfois incolore qui consiste en dioxyde de silicium.";
"Cobalt Bolt Rifle","Fusil de boulon de cobalt";
"Bolt Rifle Magazine","Magazine de fusil de boulon";
"Remaining Ammo: ","Munitions restantes:";
"Clip Size: ","Taille du clip:";
"Damage: ","Endommager:";
"10% critical hit","10% de succès critique";
"Durability Consumption: ","Consommation de la durabilité:";
"Orcek Meat","Viande d'orcek";
"Health Bonus: ","Bonus de santé:";
"Nutrition Bonus: ","Bonus de nutrition:";
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","La viande déchirée directement sur le corps d'une orcek. Cuire pour éviter l'intoxication alimentaire.";
"Gold","Or";
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","Un métal doux, malléable et ductile utilisé principalement dans la production de dispositifs électroniques en raison de sa résistance à la corrosion et de la conductivité électrique.";
"Reactor Cell","Cellule de réacteur";
"Total Weight: ","Poids total:";
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","Frais de munitions pour le pistolet de réacteur. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans votre sac à dos.";
"Grunt","Grognement";
"Strength Boosted: ","Force boostée:";
"A strong compound created to give a boost to your carrying capacity.","Un composé puissant créé pour donner un coup de pouce à votre capacité de charge.";
"02 Pump Unit Mk. III","02 unité de pompe mk. III";
"Oxygen Recharge: ","Recharge de l'oxygène:";
"Stamina Recharge: ","Stamina Recharge:";
"DIA-72 Assault Rounds","ROUTE DES ASSURATIONS DIA-72";
"20% critical hit","20% de succès critique";
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine AMMO avancé pour le fusil d'assaut. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans Sac à dos.";
"Blood Sausage","Boudin noir";
"Quench Bonus: ","Bonus de désintention:";
"Fortitude Boosted: ","Fortitude boosted:";
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","Une délicieuse saucisse créée avec du sang extraterrestre congelé bourré d'intestin extraterrestre. Manger tout équipé ou droit de l'inventaire.";
"Nickel","Nickel";
"A metal commonly used in various alloys.","Un métal couramment utilisé dans divers alliages.";
"Branches","Branches";
"Wood is often used to stoke fires.","Le bois est souvent utilisé pour éteindre les incendies.";
"Crab Shell","Coquille de crabe";
"Shell taken from a crab monster, often used to make defenses.","Shell tiré d'un monstre de crabe, souvent utilisé pour faire des défenses.";
"Recovery Unit Mk. III","Unité de récupération MK. III";
"Prevents Fall Damage","Empêche les dégâts d'automne";
"Hover Fuel Recharge: ","Survolez la recharge de carburant:";
"Gold Ingot","Lingot d'or";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 1064 ° C
";
"Heat Cell","Chaleur";
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","Frais de munitions pour le pistolet de chaleur. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans votre sac à dos.";
"Flourine","Flou";
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","Un gaz toxique qui causera des brûlures graves, utilisées dans des isolants de câbles et des matériaux imperméables.";
"Phencyclidine","Phencyclidine";
"Potent tranqualizing agent.","Agent tranquille puissant.";
"Fire Gem","Gemme de feu";
"A strange gem that gives off immense heat, its physical properties unknown.","Un bijou étrange qui dégage une chaleur immense, ses propriétés physiques inconnues.";
"Alien Organ","Organe extraterrestre";
"An Organ surgically removed from the body of an indigenous alien creature.","Un organe retiré chirurgicalement du corps d'une créature extraterrestre indigène.";
"Heat Sink Unit Mk. I","Évin de chaleur MK. je";
"Cold Resistance: ","Résistance au froid:";
"Crab Antenna","Antenne de crabe";
"Antenna taken from a crab monsters.","Antenne prise d'un monstre de crabe.";
"Cobalt Assault Rifle","Fusil d'assaut cobalt";
"0% critical hit","0% Hit critique";
"Mechanized Spanner","Clé mécanisée";
"Durability: ","Durabilité:";
"Indestructible multi-tool needed for repairing any damaged structures, walls, vehicles, and droids. Also needed to build new walls.","Multi-outil multi-outil indestructible nécessaire pour réparer toutes les structures, murs, véhicules et droïdes endommagés. Également nécessaire pour construire de nouveaux murs.";
"Apple","Pomme";
"Nutritious fruit to replenish hunger. Can be eaten while equipped or straight from storage.","Fruit nutritif pour reconstituer la faim. Peut être mangé tout équipé ou droit du stockage.";
"Medical Bandage","Bandage médical";
"Heals hitpoints. Can be used while equipped or straight from inventory.","Guérit les points de vie. Peut être utilisé tout en étant équipé ou droit de l'inventaire.";
"Scrap Plastic","Plastique de ferraille";
"Leftover chunk of plastic that need to be melted down and reformed to be useful.","Les restes de plastique qui doivent être fondues et réformés pour être utiles.";
"Arachnoid Small Leg","Petite jambe arachnoïde";
"The smaller leg of an Arachnoid ripped right off from its body. Used in a variety of crafting recipes.","La plus petite jambe d'un arachnoïde déchiré de son corps. Utilisé dans une variété de recettes d'artisanat.";
"Paradise Bloom","Paradis fleur";
"Bloom taken from what looks like an unusual strain of a Birds of Paradise. Can be eaten while equipped or straight from storage.","Bloom de ce qui ressemble à une souche inhabituelle d'un oiseaux de paradis. Peut être mangé tout équipé ou droit du stockage.";
"U.N.E. Emergency Ration","U.n.e. Rationnement d'urgence";
"Packaged nutritional paste commonly found in Emergency kits, can be easily consumed and provides vital sustenance. Eat while equipped or straight from inventory.","La pâte nutritionnelle emballée couramment trouvée dans des kits d'urgence, peut être facilement consommée et fournit une subsistance vitale. Manger tout équipé ou droit de l'inventaire.";
"Small Radar Dish Kit","Petit kit de plat radar";
"Max Durability: ","Durabilité maximale:";
"Kit used to build Small Radar Dish. To build select the Small Radar Dish from the Utilities tab in your Character build Menu.","Kit utilisé pour construire un petit plat radar. Pour construire Sélectionnez le petit plat radar de l'onglet Utilitaires du menu de votre personnage.";
"Mud Cover","Couverture de boue";
"Heat Resistance: ","Résistance à la chaleur:";
"Glide Unit Mk. III","Glide Unité mk. III";
"Fuel Compressor Mk. I","Compresseur de carburant MK. je";
"Hover Fuel Amount: ","Quantité de carburant survolée:";
"Light Unit","Unité de lumière";
"Flashlight Power Usage: ","Utilisation de la lampe de poche:";
"Flashlight Range: ","Plage de la lampe de poche:";
"Glide Unit Mk. I","Glide Unité mk. je";
"Heat Pistol","Pistolet à la chaleur";
"Circuit Board","Circuit imprimé";
"Processor used to build complex structures, vehicles, and items.","Processeur utilisé pour créer des structures, des véhicules et des objets complexes.";
"Plutonium","Plutonium";
"Highly radioactive energy source.","Source d'énergie hautement radioactive.";
"Sand","Le sable";
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","Article d'artisanat pour forger le verre dans le four ou faire du sol en table de chimie.";
"Hose","Tuyau";
"A Rubber hose.","Un tuyau en caoutchouc.";
"Lead","Conduire";
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","Un métal doux et très dense qui est couramment utilisé pour les projectiles et dans les applications de blindage de rayonnement.";
"Plutonium Ingot","Lingot de plutonium";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 639.4 ° C
";
"Fury","Fureur";
"Stamina Boosted: ","Stumina a boosté:";
"A strong compound created to give you a boost to your stamina.","Un composé puissant créé pour vous donner un coup de pouce à votre endurance.";
"Cubic Zirconia","Zircone cubique";
"A cut, refined piece of crystalline Zirconium.","Une pièce coupée et raffinée de zirconium cristallin.";
"Storage Unit Mk. I","Unité de stockage MK. je";
"Adds Inventory Slots: ","Ajoute des emplacements d'inventaire:";
"Tree Sap","La sève des arbres";
"Viscous liquid used for crafting more advanced items.","Liquide visqueux utilisé pour créer des articles plus avancés.";
"Gnat Teeth","Dents de gnat";
"Crafting item for building weapon modifications, calcium powder and other items.","Article de fabrication de modifications d'armes de construction, de poudre de calcium et d'autres articles.";
"Potato","Pomme de terre";
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","Aliments crus qui peuvent être consommés pour reconstituer la faim. Est plus nutritif quand cuit. Peut être mangé tout équipé ou droit du stockage.";
"Arachnoid Leg","Jambe arachnoïde";
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","Jambe déchirée directement sur le corps d'un arachnoïde. Utilisé dans une variété de recettes d'artisanat.";
"Sword Leaves","L'épée part";
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Les feuilles prises dans une plante d'épée utilisée comme ingrédient pour créer des objets différents. Peut être mangé pour une faible augmentation de la santé et de la nutrition.";
"Sweet Alien Jerky","Sweet Alien saccadé";
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","Un délicieux morceau de viande d'extraterrestre confit. Manger tout équipé ou droit de l'inventaire.";
"Tool Holster","Étui à outils";
"Tree Bark","Écorce d'arbre";
"Bark taken from an indigenous tree used as an ingredient to craft different items.","L'écorce prise d'un arbre indigène utilisé comme ingrédient pour créer différents articles.";
"Crab Leg Meat","Viande de jambe de crabe";
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","Viande prise de la jambe d'un monstre de crabe. Cuire pour éviter l'intoxication alimentaire.";
"Reactor Pistol","Pistolet de réacteur";
"Fuel Compressor Mk. II","Compresseur de carburant MK. Ii";
"Cryo Rifle","Cryo Fifle";
"Stim Unit Mk. III","Unité de stims MK. III";
"Rock","Rocheux";
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","Les rochers sont utilisés comme outils et matériaux de construction. Pour l'utiliser comme une arme le convertit dans votre menu d'artisanat dans une roche de bashing.";
"Makeshift Chisel","Burin de fortune";
"Hardness: ","Dureté:";
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","Totille émoussé de fortune utilisé pour les minerais minéraux minéraux avec une dureté 3. Il peut être réutilisé pour le combat en mêlée.";
"Crude Metal Blade","Blade métallique brute";
"A piece of sharpened metal that can be used to make a basic sword.","Un morceau de métal aiguisé pouvant être utilisé pour faire une épée de base.";
"A51 Heavy Assault Rifle","Fusil d'assaut lourd A51";
"Broken Hose","Tuyau brisé";
"A damaged section of hose, could be patched up to be operational again.","Une section de tuyau endommagée pourrait être corrigée pour être opérationnelle à nouveau.";
"Crude Metal Axe","Axe métallique brute";
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","Un outil de slashing qui est essentiellement un lingot en métal aiguisé sur un bâton avec une bande.";
"Bolt Rifle","Fusil de boulon";
"Scrap Hinge","Charnière";
"A small hinge salvaged from debris.","Une petite charnière récupérée de débris.";
"Medkit","Mordonnée";
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","Kit médical avancé qui guérit beaucoup de points de vie. Peut être utilisé tout en étant équipé ou droit de l'inventaire.";
"Plastic","Plastique";
"Crafting item for building structures, walls, and other items.","Article d'artisanat pour les structures de construction, les murs et autres objets.";
"Propellant Tank","Réservoir de propulseur";
