"English","中文";
"Item Name","项目名称";
"Decrypt","解密";
"Are you sure you want to quit to main menu?","您确定要退出主菜单吗？";
"Placeholder","占位符";
"O.M.P.A. Overview","o.m.p.a.概述";
"dev console commands","dev控制台命令";
"Push-to-Talk Initializing...","推送初始化...";
"[F1] Push-To-Talk","[F1]推送谈话";
"Talk now","现在说";
"World Channel","世界渠道";
"Chat Commands","聊天命令";
"[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous whisper","[标签]循环可用频道
[/ g]全球频道
[/ l]地方渠道
[/ c]殖民地渠道
[/ p]党频道
[/ w]耳语渠道
[/ r]回复以前的耳语";
"Equip Locator To Cycle Targets","装备定位器到循环目标";
"Nearest Dish
Scanning...
","最近的菜
扫描...
";
"Downloading Transmission","下载传输";
"Performing System Dyagnostics_","执行系统DyAgnostics_";
"Party Member 1","党员1";
"Toggle Flashlight [L]","切换手电筒[l]";
"Slope:","坡：";
"SUIT","套装";
"ENV","env.";
"Incline","倾斜";
"Noise","噪音";
"EARLY ACCESS","早期访问";
"This new ability unlocks your wildest dreams!","这种新能力解锁了你最疯狂的梦想！";
"Status","地位";
"New Ability","新能力";
"Username","用户名";
"Exit","出口";
"Options","选项";
"News","消息";
"Multiplayer","多人游戏";
"Single Player","单人玩家";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","在低轨道中完全制作自己的空间站。所有电台模块都可以在任何组合中互连，允许在设计和布局方面的完全灵活性。

每个模块都有自己的目的和功能，包括制作，电力系统和存储。

空间站摆脱现有阵列的侵蚀和危险在大气层中，创造了一个有趣的战略选择来存储宝贵的资源。
";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2利用新技术，我们一直在开发，将各种区域和地区添加到世界中。

我们已经增加了世界纹理的数量增加了数百万的草叶，并且填充了无数的新外国人叶子 - 每个人都会产生各种资源​​。
";
"Discovery System
","发现系统
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","您现在可以发现您在冒险中观察的一切。远远超过一个简单的成就，发现系统实际上解锁了任何找到的资源都会产生的所有资源。

基本上，资源上使用的每个武器或工具可以产生不同的项目，允许对太阳系和所有生命形式的远远探索。
";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","现在可以在更新的GPS上过滤矿物质。这款非常方便的工具，现在可以随时可用，不再连接到您的定位器，从周围的卫星读取和您自己的内部套装雷达以创建检测到半径。

该系统将向您展示所有周围的矿物质，其硬度和密度，因此您可以在制作任务中找到您正在寻找的内容。
";
"Removal of Build Gates
","拆除构建门
";
"Options","选项";
"News","消息";
"Multiplayer","多人游戏";
"Single Player","单人玩家";
"Exit","出口";
"New Ability","新能力";
"Status","地位";
"EARLY ACCESS","早期访问";
"This new ability unlocks your wildest dreams!","这种新能力解锁了你最疯狂的梦想！";
"Glide Unit Mk. II","滑行单元MK。 II";
"Weight: ","重量：";
"Hover Duration: ","悬停持续时间：";
"Hover Height: ","悬停高度：";
"Hover Fuel Usage: ","悬停燃料用法：";
"Oxygen Consumption: ","氧气消耗：";
"Stamina Usage: ","耐力用法：";
"Quartz","石英";
"Class: ","班级：";
"Amount: ","数量：";
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","一个硬化，白色，有时是无色矿物质，由二氧化硅组成。";
"Cobalt Bolt Rifle","钴螺栓步枪";
"Bolt Rifle Magazine","螺栓步枪杂志";
"Remaining Ammo: ","剩下的弹药：";
"Clip Size: ","夹尺寸：";
"Damage: ","损害：";
"10% critical hit","10％的临界击中";
"Durability Consumption: ","耐久性消耗：";
"Orcek Meat","orcek肉类";
"Health Bonus: ","健康奖金：";
"Nutrition Bonus: ","营养奖金：";
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","肉撕掉了一个orcek的身体。煮避免食物中毒。";
"Gold","金子";
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","一种柔软，可延展的延性金属，主要用于电子器件的生产，由于它的耐腐蚀性和导电性。";
"Reactor Cell","反应器细胞";
"Total Weight: ","总重量：";
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","反应堆手枪的弹药充电。重新加载时自动使用，如果存储在背包中。";
"Grunt","咕噜声";
"Strength Boosted: ","力量提升：";
"A strong compound created to give a boost to your carrying capacity.","创造了一个强大的化合物，以提高您的承载能力。";
"02 Pump Unit Mk. III","02泵单元MK。 III";
"Oxygen Recharge: ","氧气充值：";
"Stamina Recharge: ","耐力充值：";
"DIA-72 Assault Rounds","DIA-72攻击轮";
"20% critical hit","20％的临界击中";
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","高级弹药杂志为突击步枪。如果存储在背包中，则会自动使用。";
"Blood Sausage","血肠";
"Quench Bonus: ","淬火奖金：";
"Fortitude Boosted: ","坚韧提升：";
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","用夹持的外星血液填充到外星肠中的美味香肠。在装备或直接从库存时吃。";
"Nickel","镍";
"A metal commonly used in various alloys.","常用于各种合金的金属。";
"Branches","分支机构";
"Wood is often used to stoke fires.","木材经常用来踩火。";
"Crab Shell","螃蟹壳";
"Shell taken from a crab monster, often used to make defenses.","壳从螃蟹怪物中取出，经常用来进行防御。";
"Recovery Unit Mk. III","恢复单位MK。 III";
"Prevents Fall Damage","防止坠落损坏";
"Hover Fuel Recharge: ","悬停燃料充电：";
"Gold Ingot","金元宝";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：1064°C
";
"Heat Cell","热电池";
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","Ammo为热手枪收费。重新加载时自动使用，如果存储在背包中。";
"Flourine","flour";
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","一种有毒气体，将导致严重灼伤，用于电缆绝缘和防水材料。";
"Phencyclidine","Phentyclidine.";
"Potent tranqualizing agent.","有效的镇静剂。";
"Fire Gem","火宝石";
"A strange gem that gives off immense heat, its physical properties unknown.","一个奇怪的宝石，赋予巨大的热量，其物理特性未知。";
"Alien Organ","外星人器官";
"An Organ surgically removed from the body of an indigenous alien creature.","手术外来的器官从土着外星人生物的身体移除。";
"Heat Sink Unit Mk. I","散热器单元MK。一世";
"Cold Resistance: ","耐寒性：";
"Crab Antenna","螃蟹天线";
"Antenna taken from a crab monsters.","从螃蟹怪物采取的天线。";
"Cobalt Assault Rifle","钴突击步枪";
"0% critical hit","0％批判击中";
"Mechanized Spanner","机械化扳手";
"Durability: ","耐久性：";
"Indestructible multi-tool needed for repairing any damaged structures, walls, vehicles, and droids. Also needed to build new walls.","修复任何损坏的结构，墙壁，车辆和机器人所需的坚不可摧的多工具。还需要建造新墙壁。";
"Apple","苹果";
"Nutritious fruit to replenish hunger. Can be eaten while equipped or straight from storage.","营养果实补充饥饿。可以在装备或直接储存时食用。";
"Medical Bandage","医用绷带";
"Heals hitpoints. Can be used while equipped or straight from inventory.","治愈Hitpoints。可以在装备或直接从库存中使用。";
"Scrap Plastic","废塑料";
"Leftover chunk of plastic that need to be melted down and reformed to be useful.","需要融化并改革需要融化的塑料块是有用的。";
"Arachnoid Small Leg","蛛网膜小腿";
"The smaller leg of an Arachnoid ripped right off from its body. Used in a variety of crafting recipes.","蛛网膜的较小腿从它的身体撕开。用于各种制作食谱。";
"Paradise Bloom","天堂绽放";
"Bloom taken from what looks like an unusual strain of a Birds of Paradise. Can be eaten while equipped or straight from storage.","从看起来像一只天堂鸟类的异常紧张的盛开。可以在装备或直接储存时食用。";
"U.N.E. Emergency Ration","U.N.E.紧急配给";
"Packaged nutritional paste commonly found in Emergency kits, can be easily consumed and provides vital sustenance. Eat while equipped or straight from inventory.","常用于急诊试剂盒中的包装营养浆料，可以很容易地消耗并提供重要的寄托。在装备或直接从库存时吃。";
"Small Radar Dish Kit","小雷达盘套件";
"Max Durability: ","最大耐用性：";
"Kit used to build Small Radar Dish. To build select the Small Radar Dish from the Utilities tab in your Character build Menu.","套件用于建造小雷达盘。构建从“字符构建”菜单中的“实用程序”选项卡中选择“小雷达”菜肴。";
"Mud Cover","泥盖";
"Heat Resistance: ","耐热性：";
"Glide Unit Mk. III","滑行单元MK。 III";
"Fuel Compressor Mk. I","燃料压缩机MK。一世";
"Hover Fuel Amount: ","悬停燃料金额：";
"Light Unit","光单位";
"Flashlight Power Usage: ","手电筒电源用法：";
"Flashlight Range: ","手电筒范围：";
"Glide Unit Mk. I","滑行单元MK。一世";
"Heat Pistol","加热手枪";
"Circuit Board","电路板";
"Processor used to build complex structures, vehicles, and items.","处理器用于构建复杂的结构，车辆和物品。";
"Plutonium","钚";
"Highly radioactive energy source.","高放射性能源。";
"Sand","沙";
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","炉膛锻造玻璃制备物品或在化学表中制造土壤。";
"Hose","软管";
"A Rubber hose.","橡胶软管。";
"Lead","带领";
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","一种柔软，非常致密的金属，通常用于射弹和辐射屏蔽应用。";
"Plutonium Ingot","钚锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：639.4°C
";
"Fury","愤怒";
"Stamina Boosted: ","耐力提升：";
"A strong compound created to give you a boost to your stamina.","创造了一个强大的化合物，以便给您提升耐力。";
"Cubic Zirconia","立方氧化锆";
"A cut, refined piece of crystalline Zirconium.","切割，精制的晶体锆。";
"Storage Unit Mk. I","存储单元MK。一世";
"Adds Inventory Slots: ","添加库存插槽：";
"Tree Sap","树液";
"Viscous liquid used for crafting more advanced items.","用于制作更多先进物品的粘性液体。";
"Gnat Teeth","牙齿";
"Crafting item for building weapon modifications, calcium powder and other items.","制作武器修饰，钙粉等物品的制作项目。";
"Potato","土豆";
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","可以吃的原料食物来补充饥饿。煮熟时更营养。可以在装备或直接储存时食用。";
"Arachnoid Leg","蛛网腿";
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","腿撕掉了蛛网膜的身体。用于各种制作食谱。";
"Sword Leaves","剑离开";
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","从剑植物拍摄的叶子用作制作不同的物品的成分。可以吃掉健康和营养的小幅增加。";
"Sweet Alien Jerky","甜美的外星人生涩";
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","一块可口的糖果外星人肉。在装备或直接从库存时吃。";
"Tool Holster","工具皮套";
"Tree Bark","树皮";
"Bark taken from an indigenous tree used as an ingredient to craft different items.","从土着树拍摄的吠声用作制作不同物品的成分。";
"Crab Leg Meat","蟹腿肉";
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","从螃蟹怪物的腿采取的肉。煮避免食物中毒。";
"Reactor Pistol","反应堆手枪";
"Fuel Compressor Mk. II","燃料压缩机MK。 II";
"Cryo Rifle","Cryo步枪";
"Stim Unit Mk. III","STIM单位MK。 III";
"Rock","岩石";
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","岩石用作工具和建筑材料。将其用作武器将其转换为击打摇滚岩石。";
"Makeshift Chisel","临时凿子";
"Hardness: ","硬度：";
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","用于采矿矿物矿石的临时钝器工具，硬度为3.它可以重复使用近战战斗。";
"Crude Metal Blade","粗金属刀片";
"A piece of sharpened metal that can be used to make a basic sword.","一块可用于制作基本剑的磨刀金属。";
"A51 Heavy Assault Rifle","A51重型突击步枪";
"Broken Hose","破碎的软管";
"A damaged section of hose, could be patched up to be operational again.","一段损坏的软管部分，可以再次修补才能再次运行。";
"Crude Metal Axe","粗金属斧";
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","一款削减工具，基本上是棍棒上的磨削金属锭，带有一些胶带。";
"Bolt Rifle","螺栓步枪";
"Scrap Hinge","废钢铰链";
"A small hinge salvaged from debris.","从碎片中挽救一个小铰链。";
"Medkit","Medkit.";
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","先进的医疗套件，治愈很多人的休闲点。可以在装备或直接从库存中使用。";
"Plastic","塑料";
"Crafting item for building structures, walls, and other items.","建筑结构，墙壁和其他物品制作项目。";
"Propellant Tank","推进坦克";
"Where propellant is stored in a container belonging within a vehicle.","推进剂存储在属于车辆内的容器中。";
"Flare","耀斑";
"Bashing Rock","抨击摇滚乐";
"Useful when you have no other tools.","当您没有其他工具时很有用。";
"Broken Barrel","破桶";
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","一桶被损坏，不再储存气体。一些补丁可以再次制作这个功能。";
"Vampire Dust","吸血鬼尘埃";
"Agility Boosted: ","敏捷提升：";
"Advanced compound created to boost your strength and speed.","先进的化合物创造，以提高您的实力和速度。";
"Carbon Ingot","碳铸锭";
"

- Melting point: 3550 °C
","

 - 熔点：3550°C
";
"Inflatable Dome Kit","充气圆顶套件";
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","套件用于建造充气圆顶。要构建，请右键单击库存项，然后从“字符”菜单中的“结构”选项卡中选择“构建”或选择“可充气圆顶”。";
"Grilled Tumbo Meat","烤的tumbo肉";
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","肉撕掉了一个tumbo的身体。已经煮熟，吃了安全。";
"Chisel","凿";
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","用于采矿矿物矿石的强大的钝器工具，硬度为7.它可以重复使用近战战斗。";
"Hiking Cleats","徒步旅行者";
"25% critical hit","25％的临界击中";
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","弹药杂志为螺栓步枪。如果存储在背包中，则会自动使用。";
"Stim Unit Mk. II","STIM单位MK。 II";
"Scrap Metal","废金属";
"Small pieces of metal left over after the greater portion of metal has already been used.","已经使用了大部分金属后留下的小块金属。";
"Tungsten Ingot","钨锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：3422°C
";
"Uranium","铀";
"A dense, radioactive metal used commonly in nuclear fission based power generation.
","一种浓密的放射性金属，通常用于基于核裂变的发电。
";
"Nitrogen","氮";
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","核酸，氨基酸和因此蛋白质的无味和无色成分，重要的是产生肥料和炸药。";
"Cobalt","钴";
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","通常用于在耐磨合金中产生磁铁，电池和添加剂的金属。";
"Pipe","管道";
"50% critical hit","50％的临界击中";
"A basic formed pipe, can be used as a melee weapon.","基本形成的管道，可用作近战武器。";
"Makeshift Laser Chisel","临时激光凿子";
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","一个超频的临时激光器，可以慢慢地样的矿物质慢慢上样，其短的电池寿命使其成为一个可怜的采矿装置。";
"D24k Assault Rounds","D24K攻击轮次";
"Zirconium Circuit Board","锆电路板";
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","使用锆制成的母板，并在建立某些复杂的结构，车辆和物品时使用。";
"Yellow Pedal Flower","黄色踏板花";
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","在野外发现的土着真菌。吃东西有毒，但可以用来制作特殊物品。";
"Wrench","扳手";
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","一种基本的多工具，可用于修复，挽救和精确修复。";
"Battery","电池";
"Replaces depleted battery in flashlight.","取代手电筒中的耗尽电池。";
"Gem Leaf Fruit","宝石叶果";
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","非常营养的食物补充饥饿。可以在装备或直接储存时食用。";
"Azurnium","亚苏";
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","奇怪的水晶，稀疏地理解物理性质。适用于高科技设备。";
"Shaped Crab Antenna","形状蟹天线";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","蟹天线的形状片段可以塑造成粗精确的工具。";
"Blitz","闪电";
"A weak compound created to give a small boost to your stamina.","创造了一种弱化合物，以给你的耐力给予小幅提升。";
"Fungus","菌";
"Heat Sink Unit Mk. III","散热器单元MK。 III";
"Light Unit Mk. I","轻型单位MK。一世";
"Crude Pipe","原油管道";
"A crude pipe fashioned from bent scrap metal.","由弯曲的废金属塑造的原油。";
"Orcek Soup","orcek汤";
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","在高度移动包装中保存的美味肉汤。在装备或直接从库存时吃。";
"Charge Rifle","费用步枪";
"Hydrogen","氢";
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","没有颜色和气味的高度易燃气体，主要用作用于能量的火箭燃料。";
"Obsidian","黑曜石";
"A volcanic glass capable of being knapped into sharp blades.","能够被击倒锋利的刀片的火山玻璃。";
"Gnat Hook","GNAT钩子";
"Crafting item for building weapon modifications, calcium powder 
and other items.","制备武器修饰的制作项目，钙粉
和其他物品。";
"White Gold","白金";
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","一种最常见于珠宝的型型合金，可用于制造小零件。";
"Zircaloy","锆石";
"High heat, hardness, and corrosion resistant alloy.","高热，硬度和耐腐蚀合金。";
"Zinc","锌";
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","脆性金属通常用作抗腐蚀性涂层和各种合金。";
"Snake Stew","蛇炖";
"Gnat Meat","gnat肉";
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","肉撕掉了gnat的身体。煮避免食物中毒。";
"Oxygen","氧";
"A life-supporting colorless and odorless gas.","寿命支持无色和无味的气体。";
"Solar Unit","太阳能单位";
"Flashlight Battery Recharge: ","手电筒充电：";
"Key Card Tier-2","钥匙卡Tier-2";
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","用于在被遗弃的定居点和地雷开设Osiris Mission门的中间清关钥匙卡。";
"Light Range Extender","光线范围扩展器";
"Cast Iron","铸铁";
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","在压缩下强的高碳钢合金，可用于铠装电镀。";
"Alien Fiber","外星纤维";
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","从土着植物植物收获的纤维材料。可以编织成布料，是制作许多不同物品的成分。";
"Leather","皮革";
"Tanned piece of animal skin used in crafting.
","用于制作的鞣制动物皮肤。
";
"Assault Rifle","突击步枪";
"Talonite","talonite.";
"Durable alloy that holds an edge very well. Used in high precision applications.","耐用合金，持有边缘。用于高精度应用。";
"Blaster Cell","闪烁的细胞";
"Basic laser blaster cell.","基本激光吹钳细胞。";
"Assault Rifle Commander","突击步枪指挥官";
"Land Mine Set","陆地矿山套装";
"An explosive device that is used for defending you and your colony.","一种用于捍卫您和您的殖民地的爆炸装置。";
"Lonsdaleite","lonsdaleite.";
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","碳是晶体形成晶体形成的前体。";
"Booster Unit Mk. II","助推器单元MK。 II";
"Titanium","钛";
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","由于其高抗拉力率和耐腐蚀性，在航空工艺中常用的低密度，高强度金属。";
"Alien Meat","外星肉类";
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","肉撕掉了土着外星人生物的身体。煮避免食物中毒。";
"Alien Tissue","外星人组织";
"Tissue ripped right off the body of an indigenous alien creature.","组织撕掉了土着外星人生物的身体。";
"Steel","钢";
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
","用于构建先进结构和墙壁的复杂金属。

 - 熔点：1370°C
";
"Solar Unit Mk. I","太阳能单位MK。一世";
"Desert Yuccudis Fruit","沙漠榆次果实";
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","营养果实补充饥饿，略微损害您的健康。可以在装备或直接储存时食用。也用作一些物品制作的成分。";
"Heat Sink Unit Mk. II","散热器单元MK。 II";
"Glide Unit","滑翔单位";
"Gravity Strength: ","重力力量：";
"Scrap Rubber","废橡胶";
"Small pieces of rubber that need to be melted down and reformed to be useful.","需要融化并改造有用的小橡胶。";
"Crab Stew","螃蟹炖";
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","添加蟹肉，土豆和胡萝卜的美味炖菜。在装备或直接从库存时吃。";
"Skeliopod Tail","Skeliopod tail.";
"Tail taken from a Skeliopod to be used for crafting purposes.","尾巴从一个skeliopod采取以用于制作目的。";
"02 Pump Unit Mk. I","02泵单元MK。一世";
"Light Unit Mk. III","轻型单位MK。 III";
"Explosive","爆炸性";
"A chemical explosive.","化学炸药。";
"Chromium","铬";
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","一种坚硬的金属，是不锈钢中的主要添加剂，因为它在合金化时的增强和耐腐蚀性增加。";
"Crab Eye","螃蟹眼";
"Eye recovered from a crab monster.","眼睛从螃蟹怪物中恢复过来。";
"Afterburner","加强燃烧室";
"A weak compound created to give a small boost to your carrying capacity.","创造了弱化合物，以便对您的承载能力进行小幅提升。";
"Arctlily","arctlily.";
"Petals from an Arctlily, thrives in extremely cold climates.","来自一个arctlily的花瓣，在极度寒冷的气候中茁壮成长。";
"Stim Unit Mk. I","STIM单位MK。一世";
"Backpack Storage","背包存储";
"T19 Assault Rounds","T19攻击轮";
"5% critical hit","5％的临界击中";
"Broken Glass","碎玻璃";
"Fragments of glass. Would need to be melted and reformed to create usable glass.","玻璃的碎片。需要融化和改革以创造可用的玻璃。";
"Grilled Orcek Meat","烤的orcek肉类";
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","肉撕掉了orcek的身体。已经煮熟，吃了安全。";
"Cloth Bundle","布束";
"A bundle of tightly woven fibers.","一束紧密的纤维。";
"Bronze","青铜";
"A basic alloy commonly used as a material for mechanical parts in modern times.","一种常用作为现代机械部件材料的基本合金。";
"Aluminum Ingot","铝锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：660.3°C
";
"Titanium Ingot","钛锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：1668°C
";
"Diamond Chisel","钻石凿子";
"A chisel with a diamond tip that can chip away at the hardest of minerals.","一个凿子，钻石尖端可以刮掉最难的矿物质。";
"Conduit Bender","导管Bender.";
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","通常用于弯曲管道的沉重钝武器。制作有效的勃朗武器。";
"Data Disk SN:134.33","数据磁盘SN：134.33";
"Status: ","地位：";
" (3 chances)"," （3机会）";
"Booster Unit Mk. III","助推器单元MK。 III";
"Unlocks Ability: ","解锁能力：";
"Blue Palms","蓝色棕榈树";
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","从植物中获取的大型蓝色棕榈植物用作制作许多不同物品的成分。";
"Tungsten","钨钨";
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","一种坚硬，致密的金属通常用于制造硬质材料和盔甲射弹。";
"Skeliopod Shell","Skeliopod shell.";
"Shell taken from a Skeliopod to be used for building defensive walls.","从Skeliopod取出的壳用于建立防御墙。";
"Crab Meat","蟹肉";
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","从螃蟹怪物的身体取出的肉。煮避免食物中毒。";
"Fuel Compressor","燃料压缩机";
"Zirconium","锆";
"A lustrous metal primarily used as a refractory and opacifier.","一种光泽的金属主要用作耐火材料和遮光剂。";
"Scrap Antenna","废料天线";
"Pieces of antenna's that have been left over.","一块已留下的天线。";
"Hydrochloric Acid","盐酸";
"Violent chemical used to disintegrate matter.","用于崩解物质的暴力化学物质。";
"Shovel","铲";
"Tool used to gather Sand for use in crafting.","用于收集沙子的工具用于制作。";
"Shard Blade","碎片";
"A small sharp weapon made from a rock shard.","由岩石碎片制成的小尖锐武器。";
"Steamed Carrot","蒸胡萝卜";
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","营养蒸红萝卜。在装备或直接从库存时吃。";
"Suit Heater","西装加热器";
"Recovery Unit","恢复单位";
"Damage Taken: ","承受伤害：";
"Stone Shovel","石铲子";
"Wire","金属丝";
"Complex material used for crafting complex electric devices.","用于制作复杂电气设备的复杂材料。";
"Voice Log1","语音LOG1.";
"VoiceLog1","Voicelog1.";
"02 Pump Unit Mk. II","02泵单元MK。 II";
"Zoom","飞涨";
"A compound created to give a boost to your speed.","创建的化合物，以提高您的速度。";
"Zirconium Plate","锆板";
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
","用于构建某些先进结构和墙壁的金属电镀。

 - 熔点：1370°C
";
"Tactical Knife","战术刀";
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","战术刀是一个比大多数武器更安静的锋利武器。";
"Lens Cover","镜头盖";
"Tumbo Meat","Tumbo肉类";
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","肉从一个tumbo的身体取出。煮避免食物中毒。";
"Skeliopod Stew","Skeliopod炖";
"A-2 Heavy Assault Rounds","A-2沉重的突击轮";
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","高级弹药杂志为重型突击步枪。如果存储在背包中，则会自动使用。";
"Stone Axe","石斧";
"A slashing tool that is essentially a rock on a stick with a nice handle.","一款削减工具，基本上是一个棍子上的岩石，带有一个漂亮的手柄。";
"Makeshift Cloth Bundle","临时布束";
"A makeshift bundle of loosely woven fibers.","一根松散编织的纤维的临时束。";
"Stone Blade","石刀";
"A sharpened rock that can be used to make a blade.","一种可用于制造刀片的锋利的岩石。";
"Stone Axe Head","石斧头";
"A sharpened rock that can be used to make an axe","一个可用于制造斧头的锋利的岩石";
"Beetle Ball","甲虫球";
"Sack taken from a Skeliopod.","从一个skeliopod取出的麻袋。";
"Gnat Leg","GNAT腿";
"Leg ripped right off the body of a Gnat. The meat can be cooked or the bone from the leg can be used to make a weapon.","腿撕开了GNAT的身体。肉可以煮熟或腿部的骨头可用于制造武器。";
"Bark","吠";
"Tree bark is used as an ingrediant to make different items in chemistry.","树皮用作化学制作不同物品的成分。";
"Water","水";
"Liquid used for crafting more advanced items. Can also be drank to quench thirst.","用于制作更多先进物品的液体。也可以喝酒来疯狂渴望。";
"Coral Branches","珊瑚分支";
"Branches taken from a fan coral used as an ingredient to make different items in chemistry.","从风扇珊瑚采取的分支用作化学制作不同物品的成分。";
"Botany Kit","植物学套装";
"Tool used for extracting fluids from plants and creatures.","用于从植物和生物中提取液体的工具。";
"Copper","铜";
