"English","русский";
"Removal of Build Gates
","Удаление стробовых ворот
";
"Options","Параметры";
"News","Новости";
"Multiplayer","Многопользовательский";
"Single Player","Один игрок";
"Exit","Выход";
"New Ability","Новая способность";
"Status","Статус";
"EARLY ACCESS","РАННИЙ ДОСТУП";
"This new ability unlocks your wildest dreams!","Эта новая способность открывает ваши самые смелые мечты!";
"Glide Unit Mk. II","Глидный блок МК. II";
"Weight: ","Масса:";
"Hover Duration: ","Длительность Hover:";
"Hover Height: ","Характер высота:";
"Hover Fuel Usage: ","Использование топлива Haver:";
"Oxygen Consumption: ","Расход кислорода:";
"Stamina Usage: ","Использование выносливости:";
"Quartz","Кварц";
"Class: ","Класс:";
"Amount: ","Количество:";
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","Затвердевший, белый, а иногда и бесцветный минерал, который состоит из диоксида кремния.";
"Cobalt Bolt Rifle","Кобальтовая болт винтовки";
"Bolt Rifle Magazine","Журнал ROOT RIFLE.";
"Remaining Ammo: ","Оставшиеся боеприпасы:";
"Clip Size: ","Размер клипа:";
"Damage: ","Повреждать:";
"10% critical hit","10% критический удар";
"Durability Consumption: ","Расход долговечности:";
"Orcek Meat","Orcek мясо";
"Health Bonus: ","Бонус здоровья:";
"Nutrition Bonus: ","Бонус питания:";
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","Мясо разорвало прямо с тела Орчека. Повар, чтобы избежать пищевого отравления.";
"Gold","Золото";
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","Мягкий, податливый пластичный металл, в основном используется в производстве электронных устройств благодаря коррозионному сопротивлению и электропроводности.";
"Reactor Cell","Реакторная клетка";
"Total Weight: ","Общий вес:";
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","Амммо расходы на пистолет реактора. Он автоматически используется при перезагрузке, если сохраняется в вашем рюкзаке.";
"Grunt","Ворчание";
"Strength Boosted: ","Сила усиливается:";
"A strong compound created to give a boost to your carrying capacity.","Сильное соединение, созданное для повышения вашей несущей способности.";
"02 Pump Unit Mk. III","02 Насосная единица МК. III.";
"Oxygen Recharge: ","Оксиологическая перезарядка:";
"Stamina Recharge: ","Выносливость резарге:";
"DIA-72 Assault Rounds","Диа-72 Штурмовые раунды";
"20% critical hit","20% критический удар";
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Расширенный журнал AMMO для штурмовой винтовки. Он автоматически используется при перезагрузке, если сохраняется в рюкзаке.";
"Blood Sausage","Кровяная колбаса";
"Quench Bonus: ","Уточнитель бонуса:";
"Fortitude Boosted: ","Устойчивость усилила:";
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","Вкусная колбаса, созданная с скошевленной инопланетной кровью, фаршированной в иностранцев кишечника. Ешьте во время снаружи или прямо из инвентаря.";
"Nickel","Никель";
"A metal commonly used in various alloys.","Металл, обычно используемый в различных сплавах.";
"Branches","ветви";
"Wood is often used to stoke fires.","Дерево часто используется для проживания пожаров.";
"Crab Shell","Crab Shell.";
"Shell taken from a crab monster, often used to make defenses.","Shell взята из краба монстра, часто используется для защиты.";
"Recovery Unit Mk. III","Установка восстановления МК. III.";
"Prevents Fall Damage","Предотвращает повреждение падения";
"Hover Fuel Recharge: ","Перезарядка топлива Haver:";
"Gold Ingot","Слиток золота";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 1064 ° C
";
"Heat Cell","Тепловая клетка";
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","Амммо расходы на тепловый пистолет. Он автоматически используется при перезагрузке, если сохраняется в вашем рюкзаке.";
"Flourine","Промежуток";
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","Ядовитый газ, который приведет к серьезным ожогам, используемым в кабельных изоляциях и водонепроницаемых материалах.";
"Phencyclidine","PhenceClidine.";
"Potent tranqualizing agent.","Мощный транквастический агент.";
"Fire Gem","Пожарная драгоценность";
"A strange gem that gives off immense heat, its physical properties unknown.","Странный драгоценный камень, который отдает огромное тепло, его физические свойства неизвестны.";
"Alien Organ","Инопланетянин";
"An Organ surgically removed from the body of an indigenous alien creature.","Орган хирургически удален из организма коренного инопланетного существа.";
"Heat Sink Unit Mk. I","Блок тепловой раковины МК. я";
"Cold Resistance: ","Холодное сопротивление:";
"Crab Antenna","Краб антенны";
"Antenna taken from a crab monsters.","Антенна взята из краба монстров.";
"Cobalt Assault Rifle","Штурмовая винтовка кобальта";
"0% critical hit","0% критический удар";
"Mechanized Spanner","Механизированный гаечный ключ";
"Durability: ","Долговечность:";
"Indestructible multi-tool needed for repairing any damaged structures, walls, vehicles, and droids. Also needed to build new walls.","Неразрушимый мультиинструмент, необходимый для восстановления любых поврежденных структур, стен, транспортных средств и дроидов. Также нужно было построить новые стены.";
"Apple","яблоко";
"Nutritious fruit to replenish hunger. Can be eaten while equipped or straight from storage.","Питательный фрукт, чтобы пополнить голод. Можно съесть во время оборудования или прямо из хранения.";
"Medical Bandage","Медицинская повязка";
"Heals hitpoints. Can be used while equipped or straight from inventory.","Лечит хит точки. Может использоваться при оборудовании или прямо из инвентаря.";
"Scrap Plastic","Лом пластика";
"Leftover chunk of plastic that need to be melted down and reformed to be useful.","Оставленный кусок пластика, который нужно растить и реформировать, чтобы быть полезным.";
"Arachnoid Small Leg","Арахноидная маленькая нога";
"The smaller leg of an Arachnoid ripped right off from its body. Used in a variety of crafting recipes.","Меньшая нога арахноида разорвала прямо от своего тела. Используется в различных рецептах крафта.";
"Paradise Bloom","Рай цветение";
"Bloom taken from what looks like an unusual strain of a Birds of Paradise. Can be eaten while equipped or straight from storage.","Bloom взял из того, что выглядит как необычное напряжение птиц рая. Можно съесть во время оборудования или прямо из хранения.";
"U.N.E. Emergency Ration","U.n.e. Неприкосновенный запас";
"Packaged nutritional paste commonly found in Emergency kits, can be easily consumed and provides vital sustenance. Eat while equipped or straight from inventory.","Упакованная пищевая паста, обычно найденная в аварийных наборах, может быть легко потреблена и обеспечивает жизненно важное значение для существования. Ешьте во время снаружи или прямо из инвентаря.";
"Small Radar Dish Kit","Маленький радар блюдо";
"Max Durability: ","Максимальная прочность:";
"Kit used to build Small Radar Dish. To build select the Small Radar Dish from the Utilities tab in your Character build Menu.","Комплект используется для создания небольшого радара. Чтобы построить выбрать небольшое радарное блюдо с вкладки Утилиты в меню «Создание персонажа».";
"Mud Cover","Грязевая крышка";
"Heat Resistance: ","Термостойкость:";
"Glide Unit Mk. III","Глидный блок МК. III.";
"Fuel Compressor Mk. I","Топливный компрессор МК. я";
"Hover Fuel Amount: ","Наведите сумму топлива:";
"Light Unit","Светлое устройство";
"Flashlight Power Usage: ","Использование энергии фонарика:";
"Flashlight Range: ","Диапазон фонарика:";
"Glide Unit Mk. I","Глидный блок МК. я";
"Heat Pistol","Тепловой пистолет";
"Circuit Board","Печатная плата";
"Processor used to build complex structures, vehicles, and items.","Процессор используется для создания сложных структур, транспортных средств и предметов.";
"Plutonium","Плутоний";
"Highly radioactive energy source.","Высокоэффективный источник энергии.";
"Sand","Песок";
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","Предмет создания для ковки стекла в печи или изготовление почвы в химической таблице.";
"Hose","Шланг";
"A Rubber hose.","Резиновый шланг.";
"Lead","Вести";
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","Мягкий, очень плотный металл, который обычно используется для снарядов и в приложениях радиационного экранирования.";
"Plutonium Ingot","Плутоний слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 639,4 ° C
";
"Fury","Ярость";
"Stamina Boosted: ","Выносливость усилилась:";
"A strong compound created to give you a boost to your stamina.","Сильное соединение, созданное, чтобы дать вам повышение вашей выносливости.";
"Cubic Zirconia","Кубический цирконий";
"A cut, refined piece of crystalline Zirconium.","Вырезать, изысканный кусок кристаллического циркония.";
"Storage Unit Mk. I","Хранение Блок МК. я";
"Adds Inventory Slots: ","Добавляет слоты инвентаризации:";
"Tree Sap","Сок деревьев";
"Viscous liquid used for crafting more advanced items.","Вязкая жидкость, используемая для создания более продвинутых предметов.";
"Gnat Teeth","Гнат зубы";
"Crafting item for building weapon modifications, calcium powder and other items.","Предмет создания для создания модификаций оружия, порошок кальция и других предметов.";
"Potato","Картофель";
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","Сырая еда, которая может быть съедена для пополнения голода. Более питательно, когда приготовлено. Можно съесть во время оборудования или прямо из хранения.";
"Arachnoid Leg","Арахноидная нога";
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","Нога разорвана прямо с тела арахноида. Используется в различных рецептах крафта.";
"Sword Leaves","Меча листья";
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Листья, взятые с меча, используемого в качестве ингредиента для создания различных предметов. Можно съесть для небольшого увеличения здоровья и питания.";
"Sweet Alien Jerky","Сладкий инопланетянин";
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","Вкусный кусок засовенного чужеродного мяса. Ешьте во время снаружи или прямо из инвентаря.";
"Tool Holster","Инструмент кобура";
"Tree Bark","Кора дерева";
"Bark taken from an indigenous tree used as an ingredient to craft different items.","Кора взят из дерева коренного дерева, используемого в качестве ингредиента для создания различных предметов.";
"Crab Leg Meat","Краб нож мясо";
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","Мясо взято из ноги краба монстра. Повар, чтобы избежать пищевого отравления.";
"Reactor Pistol","Реактор пистолет";
"Fuel Compressor Mk. II","Топливный компрессор МК. II";
"Cryo Rifle","Криорегуляция";
"Stim Unit Mk. III","Стим блок МК. III.";
"Rock","рок";
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","Скалы используются в качестве инструментов и строительных материалов. Чтобы использовать его в качестве оружия, преобразуйте его в меню «Крафтирование» в рок-рок.";
"Makeshift Chisel","Долобие";
"Hardness: ","Твердость:";
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","Takefift Blut Tool Используется для добычи полезных минеральных руд с твердостью 3. Это можно повторно использовать для боя боя.";
"Crude Metal Blade","Сырой металлический лезвие";
"A piece of sharpened metal that can be used to make a basic sword.","Кусок заточенного металла, который можно использовать для создания основного меча.";
"A51 Heavy Assault Rifle","A51 тяжелая штурмовая винтовка";
"Broken Hose","Сломанный шланг";
"A damaged section of hose, could be patched up to be operational again.","Поврежденная часть шланга может быть исправлена, чтобы снова быть оперативной.";
"Crude Metal Axe","Сырой металлический топор";
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","Стремящийся инструмент, по сути, по существу, заостренный металлический слиток на палочке с какой-то лентой.";
"Bolt Rifle","Болт винтовки";
"Scrap Hinge","Лома";
"A small hinge salvaged from debris.","Маленький шарнир, спасенный от мусора.";
"Medkit","Medkit.";
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","Усовершенствованный медицинский комплект, который лечит много хитпонов. Может использоваться при оборудовании или прямо из инвентаря.";
"Plastic","Пластик";
"Crafting item for building structures, walls, and other items.","Ремесло для строительных конструкций, стен и других предметов.";
"Propellant Tank","Танк пропеллен";
"Where propellant is stored in a container belonging within a vehicle.","Где пропеллент хранится в контейнере, принадлежащем в транспортном средстве.";
"Flare","Вспышка";
"Bashing Rock","Bashing Rock";
"Useful when you have no other tools.","Полезно, когда у вас нет других инструментов.";
"Broken Barrel","Сломанная ствол";
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","Бочка, которая была повреждена и больше не может хранить газы. Несколько патчей могут сделать этот функционал снова.";
"Vampire Dust","Пыль вампира";
"Agility Boosted: ","Ловкость усилился:";
"Advanced compound created to boost your strength and speed.","Усовершенствованное соединение создано для повышения вашей силы и скорости.";
"Carbon Ingot","Углеродный слиток";
"

- Melting point: 3550 °C
","

- точка плавления: 3550 ° C
";
"Inflatable Dome Kit","Надувной купольный комплект";
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","Комплект используется для создания надувного купола. Чтобы построить щелкнуть правой кнопкой мыши элемент инвентаризации и выберите «Создать» или выберите надувной купол из вкладки «Структуры» в своем меню «Строительство».";
"Grilled Tumbo Meat","Мясо на гриле тумбо";
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","Мясо разорвало прямо с тела тумбо. Был приготовлен и безопасен, чтобы поесть.";
"Chisel","Долото";
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","Мощный тупой инструмент, используемый для добычи полезных минеральных руд с твердостью 7. Это можно повторно использовать в бою ближнего боя.";
"Hiking Cleats","Пешие прогулки";
"25% critical hit","25% критический удар";
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","Magazine боеприпасы для болтовной винтовки. Он автоматически используется при перезагрузке, если сохраняется в рюкзаке.";
"Stim Unit Mk. II","Стим блок МК. II";
"Scrap Metal","Металлолом";
"Small pieces of metal left over after the greater portion of metal has already been used.","Небольшие кусочки металла, оставленные после большей части металла уже использованы.";
"Tungsten Ingot","Вольфрамовый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 3422 ° C
";
"Uranium","Уран";
"A dense, radioactive metal used commonly in nuclear fission based power generation.
","Плотный, радиоактивный металл, используемый обычно в выработке электроэнергии на основе ядерных деление.
";
"Nitrogen","Азот";
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","Без запаха и бесцветных составляющих нуклеиновых кислот, аминокислоты и, следовательно, белки, важные для создания удобрений и взрывчатых веществ.";
"Cobalt","Кобальт";
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","Металл часто используется в создании магнитов, батарей и в качестве добавки в износостойких сплавах.";
"Pipe","Трубка";
"50% critical hit","50% критический удар";
"A basic formed pipe, can be used as a melee weapon.","Базовая образованная труба, может быть использована в качестве боевого оружия.";
"Makeshift Laser Chisel","Makefift Laser Chisel";
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","Разгоненный потрясенный лазер, который может медленно образец самых сложных минералов, его короткий срок службы батареи делает его плохим добычным устройством.";
"D24k Assault Rounds","D24K Штурмовые раунды";
"Zirconium Circuit Board","Циркониумная плата";
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","Материнская доска сделана с использованием циркония и используется при построении определенных сложных конструкций, транспортных средств и предметов.";
"Yellow Pedal Flower","Желтый педаль цветок";
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","Коренный гриб нашел в дикой природе. Это ядовито, но можно использовать для создания специальных предметов.";
"Wrench","Гаечный ключ";
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","Основной мульти-инструмент, который можно использовать для ремонта, спасения и точного звона.";
"Battery","Батареи";
"Replaces depleted battery in flashlight.","Заменяет истощенную батарею в фонарике.";
"Gem Leaf Fruit","Гем лист фрукты";
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","Очень питательная еда для пополнения голода. Можно съесть во время оборудования или прямо из хранения.";
"Azurnium","Азурный";
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","Странный кристалл с мало понятными физическими свойствами. Полезно в высокотехнологичных устройствах.";
"Shaped Crab Antenna","Формонная краб антенна";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Фрагмент фрагмента краба антенна может быть выпущен в неочищенный инструмент.";
"Blitz","Блиц";
"A weak compound created to give a small boost to your stamina.","Слабое соединение, созданное, чтобы дать небольшой повышение вашей выносливости.";
"Fungus","Фангус";
"Heat Sink Unit Mk. III","Блок тепловой раковины МК. III.";
"Light Unit Mk. I","Легкий блок МК. я";
"Crude Pipe","Сырая труба";
"A crude pipe fashioned from bent scrap metal.","Сырая труба, выпущенная из изогнутого металла.";
"Orcek Soup","Суп Orcek";
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","Вкусный бульон сохранился в высокомобильной упаковке. Ешьте во время снаружи или прямо из инвентаря.";
"Charge Rifle","Зарядная винтовка";
"Hydrogen","Водород";
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","Высоковоспламеняющийся газ, который без цвета, так и запаха, и используется в основном в качестве ракетного топлива для энергии.";
"Obsidian","Обсидиан";
"A volcanic glass capable of being knapped into sharp blades.","Вулканическое стекло, способное быть настроенными в острые лезвия.";
"Gnat Hook","Гнат крюк";
"Crafting item for building weapon modifications, calcium powder 
and other items.","Ремесло для создания модификаций оружия, порошок кальция
и другие предметы.";
"White Gold","Белое золото";
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","Для производства мелких деталей можно использовать сплавное сплав, можно использовать для производства мелких деталей.";
"Zircaloy","Zircaloy";
"High heat, hardness, and corrosion resistant alloy.","Высокая тепло, твердость и нержавеющий сплав.";
"Zinc","Цинкол";
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","Хрупкий металл обычно используется в качестве антикоррозийного покрытия и в различных сплавах.";
"Snake Stew","Змея рагу";
"Gnat Meat","Гнат мясо";
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","Мясо разорвало прямо с тела гната. Повар, чтобы избежать пищевого отравления.";
"Oxygen","Кислород";
"A life-supporting colorless and odorless gas.","Жизнеспособная бесцветная и без запаха газа.";
"Solar Unit","Солнечное устройство";
"Flashlight Battery Recharge: ","Фонарик батареи перезарядка:";
"Key Card Tier-2","Ключевая карта Tier-2";
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Клактор клиренса среднего уровня, используемый для открытия Двери Миссии Осириса в заброшенных поселениях и минах.";
"Light Range Extender","Диапазон света";
"Cast Iron","Чугун";
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","Сплав с высоким углеродом, который силен при сжатии и может быть использован для брони.";
"Alien Fiber","Инопланетное волокно";
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","Волокнистый материал, сформированный от коренной установки. Можно сплететь в ткань, которая является ингредиентом для создания много разных предметов.";
"Leather","Натуральная кожа";
"Tanned piece of animal skin used in crafting.
","Загорелый кусок кожи животных, используемой в создании.
";
"Assault Rifle","Штурмовая винтовка";
"Talonite","Наполз";
"Durable alloy that holds an edge very well. Used in high precision applications.","Прочный сплав, который очень хорошо держит край. Используется в высокоточных приложениях.";
"Blaster Cell","Велосипедная клетка";
"Basic laser blaster cell.","Основная лазерная бластера.";
"Assault Rifle Commander","Штурмовой стрелковый командир";
"Land Mine Set","Наземный набор шахты";
"An explosive device that is used for defending you and your colony.","Взрывное устройство, которое используется для защиты вас и вашей колонии.";
"Lonsdaleite","ЛонсдвиLeite.";
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","Эллотроп углерода, который предшествует кристаллическое образование алмазов.";
"Booster Unit Mk. II","Booster Unit MK. II";
"Titanium","Титан";
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","Низкая плотность, высокопрочный металл, обычно используемый в авиационных ремеслах из-за его высокой растягивающейся усилий до отношения плотности и коррозионной стойкости.";
"Alien Meat","Инопланетное мясо";
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","Мясо разорвало прямо от тела коренного чужеродного существа. Повар, чтобы избежать пищевого отравления.";
"Alien Tissue","Чужеродная ткань";
"Tissue ripped right off the body of an indigenous alien creature.","Ткань разорвала прямо от тела коренного чужеродного существа.";
"Steel","Стали";
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
","Комплексный металл, используемый для строительства продвинутых конструкций и стен.

- точка плавления: 1370 ° C
";
"Solar Unit Mk. I","Солнечный блок МК. я";
"Desert Yuccudis Fruit","Пустынные юккуды фрукты";
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Питательный фрукт для пополнения голода и немного повредить вашему здоровью. Можно съесть во время оборудования или прямо из хранения. Также используется в качестве ингредиента в создании некоторых предметов.";
"Heat Sink Unit Mk. II","Блок тепловой раковины МК. II";
"Glide Unit","Глиняная единица";
"Gravity Strength: ","Сила тяжести:";
"Scrap Rubber","Лом резины";
"Small pieces of rubber that need to be melted down and reformed to be useful.","Небольшие кусочки резины, которые должны быть растоплены и реформированы, чтобы быть полезными.";
"Crab Stew","Краб рагу";
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","Вкусное рагу с добавленным крабовым мясом, картофелем и морковью. Ешьте во время снаружи или прямо из инвентаря.";
"Skeliopod Tail","Скелиопод хвост";
"Tail taken from a Skeliopod to be used for crafting purposes.","Хвост, взятый из скелиопода, который будет использоваться для создания целей.";
"02 Pump Unit Mk. I","02 Насосная единица МК. я";
"Light Unit Mk. III","Легкий блок МК. III.";
"Explosive","Взрывной";
"A chemical explosive.","Химическая взрывчатая.";
"Chromium","Хромизм";
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","Жесткий металл, который является основной добавкой в ​​нержавеющей стали благодаря увеличению укрепления и коррозионной стойкости при легировании.";
"Crab Eye","Краб глаза";
"Eye recovered from a crab monster.","Глаз восстановлен из краба монстра.";
"Afterburner","Форсунок";
"A weak compound created to give a small boost to your carrying capacity.","Слабое соединение, созданное для того, чтобы дать небольшой повышение вашей несущей способности.";
"Arctlily","Arctlily";
"Petals from an Arctlily, thrives in extremely cold climates.","Лепестки от Арктили, процветают в очень холодном климате.";
"Stim Unit Mk. I","Стим блок МК. я";
"Backpack Storage","Склад рюкзака";
"T19 Assault Rounds","T19 Штурмовые раунды";
"5% critical hit","5% критический удар";
"Broken Glass","Разбитое стекло";
"Fragments of glass. Would need to be melted and reformed to create usable glass.","Фрагменты стекла. Нужно будет растопить и реформировать, чтобы создать пригодное стекло.";
"Grilled Orcek Meat","Мясо на гриле Orcek";
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","Мясо разорвало прямо с тела Орчека. Был приготовлен и безопасен, чтобы поесть.";
"Cloth Bundle","Тканевая пучка";
"A bundle of tightly woven fibers.","Пучок плотно сплетенных волокон.";
"Bronze","Бронза";
"A basic alloy commonly used as a material for mechanical parts in modern times.","Базовый сплав, обычно используемый в качестве материала для механических частей в современных временах.";
"Aluminum Ingot","Алюминиевый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 660,3 ° C
";
"Titanium Ingot","Титановый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 1668 ° C
";
"Diamond Chisel","Алмазное долоту";
"A chisel with a diamond tip that can chip away at the hardest of minerals.","Долото с алмазным наконечником, который может чипнуть на самых тяжелых минералах.";
"Conduit Bender","Трубопровод Бендер";
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","Тяжелое тупое оружие, обычно используемое для изгиб труб. Делает для эффективного дубительного оружия.";
"Data Disk SN:134.33","Диск данных Sn: 134.33";
"Status: ","Статус:";
" (3 chances)"," (3 шансы)";
"Booster Unit Mk. III","Booster Unit MK. III.";
"Unlocks Ability: ","Разблокировать способность:";
"Blue Palms","Синие пальмы";
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","Большие голубые ладони, взятые с несвязной завода, которые используются в качестве ингредиента для создания много разных предметов.";
"Tungsten","Вольфрам";
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","Трудный, плотный металл, часто используемый для изготовления жестких сплавов и пронзительных снарядов.";
"Skeliopod Shell","Skeliopod Shell.";
"Shell taken from a Skeliopod to be used for building defensive walls.","Оболочка взята с спелиопода для использования для строительства оборонительных стен.";
"Crab Meat","Крабовое мясо";
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","Мясо взято из тела краба монстра. Повар, чтобы избежать пищевого отравления.";
"Fuel Compressor","Топливный компрессор";
"Zirconium","Цирконий";
"A lustrous metal primarily used as a refractory and opacifier.","Благополучный металл в основном используется в качестве огнеупора и осторожного.";
"Scrap Antenna","Лом антенна";
"Pieces of antenna's that have been left over.","Кусочки антенны, которые были оставлены.";
"Hydrochloric Acid","Соляная кислота";
"Violent chemical used to disintegrate matter.","Насильственное химическое вещество, используемое для распада матери.";
"Shovel","Лопата";
"Tool used to gather Sand for use in crafting.","Инструмент, используемый для сбора песка для использования в создании.";
"Shard Blade","Ощупь лезвие";
"A small sharp weapon made from a rock shard.","Небольшое резкое оружие сделано из капюшона.";
"Steamed Carrot","На пару моркови";
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","Питательная морковь. Ешьте во время снаружи или прямо из инвентаря.";
"Suit Heater","Костюм нагревателя";
"Recovery Unit","Установка восстановления";
"Damage Taken: ","Урон:";
"Stone Shovel","Каменная лопата";
"Wire","Проволока";
"Complex material used for crafting complex electric devices.","Комплекс материал, используемый для создания сложных электрических устройств.";
"Voice Log1","Голосовой журнал1.";
"VoiceLog1","VOICELOG1.";
"02 Pump Unit Mk. II","02 Насосная единица МК. II";
"Zoom","Zoom.";
"A compound created to give a boost to your speed.","Соединение, созданное для повышения вашей скорости.";
"Zirconium Plate","Циркониевая пластина";
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
","Металлическое покрытие используется для построения определенных продвинутых конструкций и стен.

- точка плавления: 1370 ° C
";
"Tactical Knife","Тактический нож";
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","Тактический нож - это резкое оружие, которое тишествует для использования, чем большинство оружия.";
"Lens Cover","Крышка объектива";
"Tumbo Meat","Мясо Tumbo";
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","Мясо взято из тела тумбо. Повар, чтобы избежать пищевого отравления.";
"Skeliopod Stew","Скелиопод рагу";
"A-2 Heavy Assault Rounds","A-2 тяжелые штурмовые раунды";
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Расширенный боевой журнал для тяжелой штурмовой винтовки. Он автоматически используется при перезагрузке, если сохраняется в рюкзаке.";
